f,T,b,mu_real,mu_imag
50000,25.0,0.0097959234516684,826.0909958589704,24.67663209179224
50000,25.0,0.0125319819508013,838.3862832179175,37.66791081490373
50000,25.0,0.0156696150819685,847.0797479540919,54.13134141645867
50000,25.0,0.0197513293641549,892.8536696942358,77.69508639175935
63000,25.0,0.010371757617284,774.9023331693181,32.30027286259581
63000,25.0,0.0125476430264972,790.0306911159822,42.76924818665687
63000,25.0,0.0157497451402606,832.6269751969427,58.365177200127896
63000,25.0,0.0201382041723363,883.9961420239489,79.68393087758585
79000,25.0,0.0102985794798853,758.1876195164446,41.0370001112559
79000,25.0,0.0124402974111657,784.5191731777813,52.967669567223815
79000,25.0,0.0158014769035362,824.7376697813314,72.8834101178424
79000,25.0,0.0199935920399382,875.9787913280683,98.0722615089325
99000,25.0,0.0104021093760927,748.0813538016894,29.00762095985333
99000,25.0,0.0125363128761548,770.4317451891669,39.50826808998568
99000,25.0,0.0156415547089365,804.9856505159613,55.64285754829283
99000,25.0,0.0198500838523927,859.0187356870672,75.48049898671036
125000,25.0,0.0102772436182545,748.1080194843038,29.203802875222273
125000,25.0,0.0123895699127235,769.8912280057333,41.17432973457079
125000,25.0,0.0157579827086664,811.9652644039489,58.849244542223744
125000,25.0,0.0197532919664307,857.7278507053427,78.65491216625779
158000,25.0,0.0101610922129421,745.0870944561252,31.725024439266004
158000,25.0,0.012463297659849,773.2618213833724,44.760345846595214
158000,25.0,0.0156727841419349,812.576215728353,62.374395549046326
158000,25.0,0.0195543166546485,853.1865043429895,85.10496841728927
199000,25.0,0.0101386139109504,751.23144919781,35.65687035936949
199000,25.0,0.0124792357709907,778.0190825686166,50.05285188949544
199000,25.0,0.0155372741653859,807.5662094681635,69.944291642407
199000,25.0,0.0196412847603691,860.4273994554562,96.13717235483051
251000,25.0,0.0104965500383437,754.906769136853,46.04583988202676
251000,25.0,0.0123258286479457,769.874125250894,59.18980786436116
251000,25.0,0.0156216633686383,814.3804884339945,83.51715185027226
251000,25.0,0.019536531432297,863.6729969251425,112.27268726315643
316000,25.0,0.0112891595232024,766.3900202748742,63.7439737999462
316000,25.0,0.0122961828176198,776.4248407453349,73.58270994813357
316000,25.0,0.015597936809858,820.4664829087385,100.85986415615429
316000,25.0,0.0195602945486354,866.5052944926188,136.1638174609634
398000,25.0,0.0119621559930104,782.3112173498721,92.89469381093777
398000,25.0,0.0123151109322311,789.285124284588,97.42183884519537
398000,25.0,0.0155815076863933,825.9455629284594,130.45391518242653
398000,25.0,0.0194154042515777,862.0948265371358,178.85887981579955
50000,50.0,0.0098427577741962,1070.0956245244815,21.01680743472321
50000,50.0,0.0124025013433746,1085.0248855546133,34.42724013221625
50000,50.0,0.0155068568271265,1088.7344127551414,50.77705741876619
50000,50.0,0.0194327719248255,1125.4768591831169,73.80198244998168
63000,50.0,0.0102575202226289,1014.8362304793986,27.692447832980843
63000,50.0,0.0123442288801325,1022.290626601235,36.68120824644492
63000,50.0,0.0156207933006602,1068.6406694696298,53.59541102441492
63000,50.0,0.0197064394852544,1115.6438155894514,73.64542799030383
79000,50.0,0.0100440255440242,992.7240308989609,32.634450831258306
79000,50.0,0.0123187614861938,1021.5671457870936,47.16163653216974
79000,50.0,0.0156313082537969,1063.3057177856529,67.38244670795402
79000,50.0,0.0196424699088578,1110.7154944182253,92.0883597540957
99000,50.0,0.0100326094991073,988.6889994038802,25.764658320944033
99000,50.0,0.0124145617998949,1011.8177694966198,39.67062710174926
99000,50.0,0.0155646883367518,1051.1501908843968,58.83595120579915
99000,50.0,0.0195983057089729,1097.1608455130693,79.02527140126305
125000,50.0,0.010026727135907,992.4965788588299,28.574818867440953
125000,50.0,0.0123460100891029,1013.3086085105871,43.91971497419316
125000,50.0,0.0156367042353099,1058.2473362723385,63.781203796612566
125000,50.0,0.0195854549378425,1107.6340328693534,87.0871570303292
158000,50.0,0.0099046083536196,997.2332204576568,39.290708416879134
158000,50.0,0.0123116375183428,1027.8619604843047,56.153004061996754
158000,50.0,0.0155943096858243,1068.9161251322084,78.07581063202838
158000,50.0,0.0194733450019168,1107.691673853084,105.66603411386203
199000,50.0,0.0107141922739325,1023.654036187306,57.86032555648352
199000,50.0,0.0123998501759347,1046.4602333658147,72.63799275875478
199000,50.0,0.0154948177098146,1070.5624897851235,97.12414836103487
199000,50.0,0.0194602266501976,1122.512649190773,129.5845476778584
251000,50.0,0.0115591519812556,1055.5519833111273,91.34192340263351
251000,50.0,0.0122458576659542,1049.0844949328286,99.19280879342368
251000,50.0,0.0155378305462675,1091.7309537125236,130.7419882249776
251000,50.0,0.0195848021507014,1142.6370487000004,173.97291484317424
316000,50.0,0.0121248034871002,1074.496095839987,141.1890883757291
316000,50.0,0.0122804620522377,1083.4351560419038,145.718355256457
316000,50.0,0.0155909615857046,1116.5252586431604,186.7587607723007
316000,50.0,0.0195212162404719,1160.0681814020163,239.26069711831383
398000,50.0,0.0125869643126537,1114.3629810344482,226.75044207418424
398000,50.0,0.0124097119417142,1122.1624095751802,228.7858384390264
398000,50.0,0.0155258718792143,1139.2888527754892,277.91461164647575
398000,50.0,0.0193585382862439,1159.7092078128462,355.4755899528069
50000,70.0,0.0096822337400982,1371.6636016983148,10.177340401820292
50000,70.0,0.0123949410911473,1370.1431994029938,23.314595258172712
50000,70.0,0.0152773385163412,1379.459092003387,39.684187728995916
50000,70.0,0.0193047320623528,1409.4191283814298,60.32526740278689
63000,70.0,0.0101153286970098,1296.9008575490989,14.252999720591287
63000,70.0,0.0122014706564521,1307.4397268967161,25.548738927452813
63000,70.0,0.0155552284442222,1360.800827720642,42.79992357539956
63000,70.0,0.0196006456642273,1398.6897489151777,61.217492012153144
79000,70.0,0.0099447065762223,1276.4137837321316,15.941444213019876
79000,70.0,0.012245226573486,1297.1287415653694,30.346770816104613
79000,70.0,0.0154476819974666,1352.0521404799113,47.7161666623293
79000,70.0,0.0195762359722032,1392.6500708545063,69.62274407450175
99000,70.0,0.0099217245884583,1284.2006629280452,16.498695975723304
99000,70.0,0.0123609262269802,1314.9458883808325,31.75398087605032
99000,70.0,0.0154941137122897,1347.6142981633902,52.47942955525532
99000,70.0,0.0195231026116363,1400.7708503134522,74.02954209972002
125000,70.0,0.0099128792766023,1298.5999280797705,24.678414553525858
125000,70.0,0.0122712921719835,1319.625032899867,41.97531294199871
125000,70.0,0.0155817897031394,1374.14063653906,62.73753842684842
125000,70.0,0.019528456779978,1408.9176475669167,85.1234973906605
158000,70.0,0.0106440122556433,1317.2628632632393,49.3467918809385
158000,70.0,0.0123428296308172,1340.1427271915886,57.678032055878106
158000,70.0,0.0154983348009664,1388.6047472853022,84.1985242492048
158000,70.0,0.0194101625631993,1411.7644795905098,112.50012812645348
199000,70.0,0.0114572761260662,1345.4637327936096,74.1346708634537
199000,70.0,0.0123862944799618,1362.379443554403,84.75540555676403
199000,70.0,0.0154701732945286,1400.7007794199421,113.05775329553656
199000,70.0,0.019508530721137,1437.0925908577894,145.26136535437016
251000,70.0,0.0121135762149893,1393.2274648493412,123.94515567183122
251000,70.0,0.0122690751799948,1364.6269344946356,125.60333016605273
251000,70.0,0.0155470387264278,1439.2900614875732,168.6614375637983
