f,T,b,mu_real,mu_imag,h_offset
50000,25.0,0.0121180496768484,3175.1792543204483,9.546653977743889,0.0
50000,25.0,0.0156302070922702,3231.28513796707,23.174273208031444,0.0
50000,25.0,0.0192986678544773,3257.4192806587266,36.314284583867504,0.0
50000,25.0,0.0247644939764168,3352.638389038202,55.34506136932292,0.0
50000,25.0,0.0313015331282332,3446.575549007599,71.37521863483005,0.0
50000,25.0,0.0395963256585476,3549.8621742114155,109.69822300659804,0.0
50000,25.0,0.0494789918227352,3684.1710103921214,140.38804890356568,0.0
50000,25.0,0.0630502878175428,3844.534628222359,183.57286712528025,0.0
50000,25.0,0.0792844355714764,3997.715039330358,237.6447166368782,0.0
50000,25.0,0.0995647016079636,4160.017295630704,293.3702980866707,0.0
50000,25.0,0.125515118197756,4352.3968615559725,368.679164512472,0.0
50000,25.0,0.1563963783937604,4495.562323811058,447.0528695722088,0.0
50000,25.0,0.1960611717889691,4604.599110399692,537.5519356112413,0.0
50000,25.0,0.2373695790000535,4683.907482463735,622.696300439437,0.0
50000,25.0,0.2947458287401836,4687.517900757883,706.876447108334,0.0
63000,25.0,0.0096139165392992,3594.3677091329027,70.13711394072004,0.0
63000,25.0,0.0122269360937616,3648.9648270847183,78.23866164671858,0.0
63000,25.0,0.0153090183785983,3628.5600871231854,89.26066002703857,0.0
63000,25.0,0.0194551283096472,3690.41626800442,107.38468299503424,0.0
63000,25.0,0.0246753914170778,3776.979833050424,131.07953561946945,0.0
63000,25.0,0.0314658144615898,3854.87295357076,156.61708975458762,0.0
63000,25.0,0.0395266314865167,3918.901339711795,184.1245099175804,0.0
63000,25.0,0.049854111220875,4000.6561085736776,216.35898364342123,0.0
63000,25.0,0.0628108189883503,4069.350911509333,251.06360831709824,0.0
63000,25.0,0.0790425100577788,4217.73084263179,296.05786719461827,0.0
63000,25.0,0.0996178183327804,4334.149621220851,352.10165718110125,0.0
63000,25.0,0.1250679716068007,4450.035794016549,418.20502162328063,0.0
63000,25.0,0.1569666835085764,4554.575355569942,506.6796658763533,0.0
63000,25.0,0.1911290656129901,4652.053191538398,587.3062498826848,0.0
63000,25.0,0.2395297443565395,4712.840071572824,690.1657536073047,0.0
63000,25.0,0.2952171318568631,4682.292039678374,777.9090544561853,0.0
79000,25.0,0.0095111833578411,3590.400863750731,79.48537756480842,0.0
79000,25.0,0.0120743707801208,3576.545273455421,79.41521461810702,0.0
79000,25.0,0.0150567209520897,3634.3599592111,96.11947814508322,0.0
79000,25.0,0.0194148313329367,3696.943188237541,114.99369137081231,0.0
79000,25.0,0.0246287146705616,3766.944308979567,141.89514485330378,0.0
79000,25.0,0.031255838674988,3859.477775176756,165.42086420547818,0.0
79000,25.0,0.0393864978411578,3926.107473004891,196.0996897550864,0.0
79000,25.0,0.0496267258045176,3964.145523213608,229.20230097534068,0.0
79000,25.0,0.0626017356901995,4099.630810599203,273.47538319767955,0.0
79000,25.0,0.0791059753658937,4235.715911351405,321.1533460559976,0.0
79000,25.0,0.0991953945798903,4347.231482444629,380.0971718196455,0.0
79000,25.0,0.1251454850657462,4453.323171630887,465.89244326058736,0.0
79000,25.0,0.1528960272581777,4562.292346396057,548.6898011790029,0.0
79000,25.0,0.1913610438092678,4659.903755040446,650.0387408409772,0.0
79000,25.0,0.2404040725570688,4700.776601374328,774.6733666029768,0.0
79000,25.0,0.2865079948033562,4726.5563096917485,863.7426641767325,0.0
99000,25.0,0.009854381877387,3551.134988181787,69.3321632814013,0.0
99000,25.0,0.0121793440115076,3605.60106609572,88.00566921644463,0.0
99000,25.0,0.0154466089806165,3662.1295270756495,101.88413306788456,0.0
99000,25.0,0.0196927372651982,3702.296735478216,130.09802303281938,0.0
99000,25.0,0.0248036906682843,3794.850426334161,157.28244956510437,0.0
99000,25.0,0.031273736976996,3884.772692783646,179.97964159851452,0.0
99000,25.0,0.0394133989652751,3903.810216395854,217.03781522345088,0.0
99000,25.0,0.0498139787669932,3996.674035963858,251.20320006933636,0.0
99000,25.0,0.062482773316197,4129.642626924255,298.32202866759144,0.0
99000,25.0,0.0782233052635809,4261.228124952781,352.71630875262326,0.0
99000,25.0,0.0987173137022349,4343.2547317589015,437.1752200868344,0.0
99000,25.0,0.1211156530496536,4449.05279134701,513.9802734018057,0.0
99000,25.0,0.1516636938972606,4565.452346437264,615.4326001440617,0.0
99000,25.0,0.1931597142030033,4646.275313205995,743.4757416540765,0.0
99000,25.0,0.2385213934173354,4720.375076364297,866.3641975034654,0.0
125000,25.0,0.0113111521888429,3631.2752186377375,98.56318381509304,0.0
125000,25.0,0.0122667299337559,3636.2104056065127,103.23225643319496,0.0
125000,25.0,0.015615130644856,3676.550036862504,126.05054412111458,0.0
125000,25.0,0.0196148431258497,3743.9513136437,149.15485040768797,0.0
125000,25.0,0.0246677415826416,3815.6130599345606,177.72866421561747,0.0
125000,25.0,0.0311144378327857,3864.974028818512,206.0966012495847,0.0
125000,25.0,0.0393364699160844,3936.669315693708,240.35297468805808,0.0
125000,25.0,0.049498952433761,4027.26496610072,282.2525627508607,0.0
125000,25.0,0.0622061830410311,4139.810827136815,335.37965766949173,0.0
125000,25.0,0.078235561838639,4258.9566649689295,423.3498187556116,0.0
125000,25.0,0.0962020335949108,4357.366348509408,493.74102469799845,0.0
125000,25.0,0.1215214837408288,4456.421799839368,590.0704690441872,0.0
125000,25.0,0.152777679451042,4558.089717677637,716.4190206483956,0.0
125000,25.0,0.192449141491394,4656.109486966629,846.4816344789898,0.0
158000,25.0,0.0123211068890476,3642.0236268294943,134.30332987319778,0.0
158000,25.0,0.0123425625037317,3664.670561916855,133.5741533080733,0.0
158000,25.0,0.0155107270863706,3704.412477097601,157.85636538644923,0.0
158000,25.0,0.0195566060911934,3757.9588283064986,180.701677819632,0.0
158000,25.0,0.0247100185152389,3802.0266246470096,216.70385668207035,0.0
158000,25.0,0.0311024263083441,3910.002376243899,246.30024860157604,0.0
158000,25.0,0.0392009631080715,3973.696848857229,284.6128450748171,0.0
158000,25.0,0.0494403953504632,4054.5214683446648,335.4713825380447,0.0
