f,T,b,mu_real,mu_imag
141000,25.0,0.1792009879547636,1921.5810514349023,1.2415225434525041
158000,25.0,0.1780314004796079,1949.6293397578572,0.8936264475402446
158000,25.0,0.1777109738426576,1931.5934611296257,1.011223403552872
177000,25.0,0.1774558361667434,1941.7082975741478,0.9227300529057594
177000,25.0,0.1782462264061881,1935.2422442729305,1.0693665912846038
199000,25.0,0.177376974670803,1945.5186704431073,0.9346071368708059
199000,25.0,0.1777981279833327,1931.8822634918067,1.1133119364785602
223000,25.0,0.1778333270081455,1945.7413669991902,1.0268007814879887
223000,25.0,0.1784380898874778,1937.122894498756,1.127882668312635
251000,25.0,0.177289075002805,1939.7687742190892,1.0300510866502293
251000,25.0,0.1783504755995077,1939.5874380097773,1.1913103376142073
281000,25.0,0.1773863027718815,1945.9220464239559,1.0953818846997254
281000,25.0,0.1777738068678902,1933.939136909301,1.268578533238374
316000,25.0,0.1772426416255144,1943.711386722038,1.1883480337367838
316000,25.0,0.1781805577764958,1938.1745551431798,1.3893169609057123
354000,25.0,0.1774789762422495,1950.2707625238586,1.2873759037250703
354000,25.0,0.1780250866350559,1938.1758159254732,1.516833641994883
398000,25.0,0.1775074255613058,1953.6622205533236,1.397897157371911
398000,25.0,0.1778403346567967,1935.5569736472937,1.651215760453431
446000,25.0,0.1773085045545787,1953.1512911125496,1.5161803334342907
446000,25.0,0.1779972620726176,1938.6496464276133,1.8619535109323941
141000,50.0,0.178942410201067,1968.4601273850544,0.8069641849517748
158000,50.0,0.1775169534114885,1989.4677103479132,0.5866604856071834
158000,50.0,0.1786808355724456,1986.4463871509258,0.7014394352149554
177000,50.0,0.1775717845084274,1988.4240534995752,0.6052274732637137
177000,50.0,0.1781486404263417,1975.590102699658,0.739311280842234
199000,50.0,0.1770851730022254,1987.5005846534634,0.6301132358385548
199000,50.0,0.1780833239011111,1977.3313992894782,0.7770932856879935
223000,50.0,0.177759990246289,1989.691326156901,0.697151574665158
223000,50.0,0.1783180743643049,1981.4581525894916,0.8171516833210777
251000,50.0,0.1774558290019705,1988.412088126139,0.7248995961122198
251000,50.0,0.1780377758469448,1976.4788687709863,0.8695242669548044
281000,50.0,0.1770561906709483,1986.7633382479917,0.8147574913124578
281000,50.0,0.1781948014936869,1979.3041928585428,0.9697854676733588
316000,50.0,0.1768845574520083,1989.1631718395413,0.8739548153851744
316000,50.0,0.1779958245541136,1979.5391613341353,1.0680151406440421
354000,50.0,0.1770668334174746,1992.8852983601869,0.9980707056459411
354000,50.0,0.1780408162320247,1981.3980378718127,1.2221968674774386
398000,50.0,0.1777466028205609,2002.8582058225293,1.133696469003999
398000,50.0,0.1778500767305907,1981.4345184254905,1.4018901159444814
446000,50.0,0.1774884217316306,2000.7597154746318,1.2951753717144914
446000,50.0,0.1784784748616714,1986.5671821243952,1.6286989004488879
141000,70.0,0.1784902139828722,1990.1660877769189,0.448224167298595
158000,70.0,0.1781171255967981,2014.6090841615662,0.33597025619487497
158000,70.0,0.1780192608154422,1997.4150317556569,0.4393217661051522
177000,70.0,0.1773276051853898,2005.9187570462652,0.3362908812819427
177000,70.0,0.1781009043970373,1994.4565956430579,0.44620042977320895
199000,70.0,0.1771250298198201,2003.3287332638597,0.380824885066282
199000,70.0,0.1779037365687828,1995.4037690617326,0.4900302172364443
223000,70.0,0.1771678413746493,2005.8735263486299,0.43701563640241375
223000,70.0,0.1781044510476874,1995.3608349921544,0.5286398108544768
251000,70.0,0.1767498038439802,2001.7053613710364,0.4646382608114254
251000,70.0,0.1780721277134174,1999.6666737580924,0.5963378351062536
281000,70.0,0.1766635343513212,2005.1346937738697,0.535569676978026
281000,70.0,0.1785216596698015,2002.6244760654006,0.7152386447522837
316000,70.0,0.176998946331036,2012.7736217983233,0.6387766005787373
316000,70.0,0.1776627785967396,1995.0074386765589,0.8252278627050187
354000,70.0,0.1773058924950423,2015.9727424758225,0.7833922273323854
354000,70.0,0.1778402845188274,1999.5631585507115,0.9886332830946803
398000,70.0,0.1771632441179556,2017.699855767324,0.9390840268259969
398000,70.0,0.1778462951385462,1999.9876868770123,1.2033231118772982
446000,70.0,0.1771208433862725,2023.7907544082295,1.135773877123705
446000,70.0,0.178284300669725,2008.5707495416057,1.434112639060397
141000,90.0,0.177945666492095,2000.1300520950508,0.21360436394642304
158000,90.0,0.1772677647787959,2023.1301332569872,0.15601624133123598
158000,90.0,0.1783427979902412,2017.0939947254706,0.2238717448775473
177000,90.0,0.1772889233577008,2024.2768706171362,0.16243193411945897
177000,90.0,0.1784306866291685,2016.260565144844,0.2338276441222401
199000,90.0,0.1769917570259018,2018.2559420008608,0.21787054567636233
199000,90.0,0.1780088317214786,2011.7482503018896,0.29302065752660356
223000,90.0,0.176851716425913,2019.8308860405948,0.2833180609789761
223000,90.0,0.1776400953278646,2006.6673730613568,0.3465016841578575
251000,90.0,0.177476214021514,2028.8457990148058,0.3029819230036669
251000,90.0,0.177404804618545,2006.1082382813634,0.4066975961696248
281000,90.0,0.1769663315931829,2021.4072077277533,0.39626130471294024
281000,90.0,0.1778251823957237,2008.5182617514708,0.5490925489591434
316000,90.0,0.1773584826103885,2027.3395070953636,0.5195468466917398
316000,90.0,0.1778875465855968,2012.8833044020812,0.6791009091185745
354000,90.0,0.1770408673005887,2027.8178959462734,0.6893591068788485
354000,90.0,0.1779634223336519,2014.2753232276598,0.8679633037164683
398000,90.0,0.1769253653510402,2029.8863866792162,0.879312641939316
398000,90.0,0.1784262295137218,2023.7107654845324,1.1048326120297727
446000,90.0,0.1769790078742468,2034.550707473917,1.1059484389391492
446000,90.0,0.1782510841456545,2022.1898092112415,1.4214649659599286
