f,T,b,mu_real,mu_imag
50000,25.0,0.010191883510091,1807.9345029263022,33.029584646830706
50000,25.0,0.0126642479591308,1869.2757046272957,48.828971767085456
50000,25.0,0.0159284284716655,1954.6920198595787,72.95225129987976
50000,25.0,0.0203970367716717,2083.086246923228,105.70277660670492
50000,25.0,0.0259774001548998,2238.0468843461194,148.51831100857635
50000,25.0,0.0324515495883353,2398.1303735080623,211.13446026921395
50000,25.0,0.0413813227898022,2634.0421938432046,306.7920139801001
50000,25.0,0.0523474000348832,2872.4237808347666,425.06040015556187
50000,25.0,0.0647369669278212,3136.1657247983203,578.1672661725916
50000,25.0,0.0819417994059081,3439.320283828718,763.5983053514844
50000,25.0,0.1017503469271278,3774.2651552897833,966.732812396412
50000,25.0,0.1273958779788468,4075.3983021331505,1200.203879313766
50000,25.0,0.1578538076636444,4332.469833614885,1441.0356397444716
50000,25.0,0.1923714312318225,4571.358033584651,1682.6574751042654
50000,25.0,0.2431369027937765,4716.6019970650395,1891.5341385269137
50000,25.0,0.2960448821947128,4613.6911774167365,1877.183958822383
63000,25.0,0.009924460529017,2380.125079137263,94.56372735693276
63000,25.0,0.012389466495246,2387.0346648118866,112.76221306244749
63000,25.0,0.015722403250131,2443.204131101222,133.60847844867308
63000,25.0,0.01988507805181,2549.0672112193843,183.823429753491
63000,25.0,0.0253116667340666,2679.7180504448397,251.210401707505
63000,25.0,0.0318994390138426,2841.6353155909255,329.02427358671076
63000,25.0,0.0404423948492955,2995.166103885553,425.5733285631538
63000,25.0,0.0507780929145711,3167.774674064887,548.231526935849
63000,25.0,0.0639024295556217,3384.306258091621,688.3048520549432
63000,25.0,0.0805652821176626,3656.543036932099,878.2903411429426
63000,25.0,0.1015186394092795,3952.9525860497292,1083.4344146490566
63000,25.0,0.1272997825147769,4198.192338605533,1326.8663490412882
63000,25.0,0.1552226866004495,4421.848105832375,1567.0886510903745
63000,25.0,0.196125176092417,4645.982624354992,1872.0994094823789
63000,25.0,0.2423417127547219,4731.9035179886305,2087.7452643237048
79000,25.0,0.0097278885442383,2339.8274494802235,87.16352713794782
79000,25.0,0.0124093188877179,2411.0764685693366,117.19001322032729
79000,25.0,0.0156982996412315,2500.340337638961,158.43383257482955
79000,25.0,0.0198807923864759,2582.3658153192496,207.68529281787528
79000,25.0,0.0252069536928616,2718.2649750467135,275.99069975661104
79000,25.0,0.0316280356907052,2864.822797950384,354.15730674483
79000,25.0,0.040069684127941,2993.117659035265,457.50925108025996
79000,25.0,0.0504276651390669,3193.053697266178,583.6260253977316
79000,25.0,0.0635401772970838,3404.26558176456,742.8680529782908
79000,25.0,0.0799668638914729,3658.2026722923106,940.9949217024662
79000,25.0,0.1008875889574706,3944.1972209389082,1177.9569442280133
79000,25.0,0.1240554139278881,4169.686412768795,1415.219209192986
79000,25.0,0.155719131843031,4410.561556881386,1722.2352644499335
79000,25.0,0.196124560133025,4612.567899505602,2077.02520933639
99000,25.0,0.0104118132315295,2376.570541278757,112.70045064104886
99000,25.0,0.0124268679452856,2419.162684967039,131.82161306675297
99000,25.0,0.0156720382382477,2497.1633725731494,175.06903414963745
99000,25.0,0.0198370907686651,2598.868148333366,229.33839328393967
99000,25.0,0.0250956119999544,2723.5357140667693,302.4219302402781
99000,25.0,0.0314687285062284,2850.4096270240357,388.2072511398871
99000,25.0,0.0399332784283899,3010.9637936954828,500.4613497560958
99000,25.0,0.0503231476931924,3210.2761437057984,646.1067715499671
99000,25.0,0.0634252391471419,3407.720678971376,813.5328204847478
99000,25.0,0.0801047145593321,3653.3163618806266,1057.386495685493
99000,25.0,0.0981732317632334,3865.0210443331252,1278.4205263483707
99000,25.0,0.1237646819813121,4138.550867664319,1576.808407720177
99000,25.0,0.1557475602083877,4347.681109057423,1947.5143689291422
125000,25.0,0.0117397138268057,2433.5972608438997,146.93541211535413
125000,25.0,0.0123604933694218,2422.7258231392066,153.9151112425042
125000,25.0,0.0156967306595277,2511.541413550206,196.62867225530317
125000,25.0,0.0197129788300315,2600.9107524548954,253.18092421016465
125000,25.0,0.024879859791046,2704.550673483318,335.1477459152129
125000,25.0,0.0313180977414023,2862.5251946871854,427.5782610712599
125000,25.0,0.0396709195347076,3018.794810407677,554.7805488439811
125000,25.0,0.0500628002000024,3203.360917653657,722.7714394285794
125000,25.0,0.0630874122859514,3386.8784214643133,940.181154306647
125000,25.0,0.0777821390910267,3617.876679366735,1183.8354304789461
125000,25.0,0.0977848205623784,3826.856077040005,1468.2869323480272
125000,25.0,0.1237722053630336,4064.825452547723,1836.4481453327026
158000,25.0,0.012521042836924,2448.471979572968,184.0069771013448
158000,25.0,0.0124202140170353,2441.285702335906,183.9467243094374
158000,25.0,0.0156428236526918,2518.0015807530035,227.04057423038392
158000,25.0,0.0196601885011215,2585.294563401288,290.17221354249614
158000,25.0,0.0246800792940265,2716.940781710836,377.3498423202243
158000,25.0,0.031376617500358,2891.0072646594945,501.8654658068453
158000,25.0,0.0393842986779547,3022.5737709068726,642.8637948356608
158000,25.0,0.0497061757259849,3183.4614665319996,858.3538125395042
158000,25.0,0.0614000259310946,3356.7145867416834,1073.2103615825122
158000,25.0,0.0773715842870051,3570.273979195501,1385.0077347487795
158000,25.0,0.0984146659140967,3741.706319806002,1763.2446260753195
199000,25.0,0.0129160389492188,2470.0236989216714,230.22955305388035
199000,25.0,0.0124857676908161,2450.711619672194,217.84016004444632
199000,25.0,0.0155826237505871,2509.74322339849,270.74598835687505
199000,25.0,0.0196336964533849,2608.468555081215,351.057972537312
199000,25.0,0.0247952129054268,2745.9006765969275,463.5198660304012
199000,25.0,0.0312763031845967,2893.259057308508,604.3579926808715
199000,25.0,0.0393556824944844,3013.2579110313645,808.3132007568901
199000,25.0,0.0488624886640126,3161.3152329658874,1030.3646944231707
199000,25.0,0.0613191195755234,3313.3505550204627,1324.3323720187223
199000,25.0,0.0776725685833608,3463.3757776132284,1738.6007210090954
251000,25.0,0.0132698632652045,2513.823961731188,321.7842862965725
251000,25.0,0.012375250523807,2465.0408367592104,300.6068031918578
251000,25.0,0.0155606642234119,2546.7053255431974,360.4190950186165
251000,25.0,0.0195627704211871,2644.458950626967,470.67357019869615
251000,25.0,0.0247527107925645,2771.531616600782,616.1155308912655
251000,25.0,0.0311171010361117,2888.2704659222527,811.4658266944557
251000,25.0,0.0385401670868756,3004.704126551531,1034.8759949067346
251000,25.0,0.0486694817553627,3111.201995911519,1336.804096620297
251000,25.0,0.0612219412881612,3179.2905996663903,1727.4429527767709
316000,25.0,0.0134455020801551,2547.2470637701776,460.1828105768268
316000,25.0,0.0123210593015026,2515.523199424735,431.365754429295
316000,25.0,0.0156097719250805,2605.3245642754273,535.4197567541479
316000,25.0,0.0196803763662586,2683.7910651417437,667.8611564086176
316000,25.0,0.0246952418605925,2765.8707433738696,877.6283756970373
316000,25.0,0.030686560137701,2872.0623337104525,1114.965872325065
316000,25.0,0.038451000009783,2927.6160891062636,1432.5003188145272
316000,25.0,0.0485219945944659,2916.8488698823994,1845.922899452428
398000,25.0,0.0135755872036474,2612.519115716262,723.1555379493583
398000,25.0,0.0125142048209051,2583.990731301683,674.4633598720828
398000,25.0,0.0156251446696174,2651.857167700746,825.2371490542392
398000,25.0,0.0195547031140472,2669.481856182593,1025.5539857615993
398000,25.0,0.0242863875697521,2726.8388586827673,1320.0162003768946
398000,25.0,0.0305139595593563,2708.5228286845986,1665.5621929505799
398000,25.0,0.0384193857373607,2585.0070880244593,2170.7892099793125
50000,50.0,0.0098692919994863,2488.047398677301,60.73335347461356
50000,50.0,0.0125890355415618,2591.550299331597,80.48923361300427
50000,50.0,0.0157922334659701,2664.1288049629065,107.81235687438883
50000,50.0,0.019622455383061,2799.3357211520015,137.86137498197164
50000,50.0,0.0251112628910454,2988.343948080593,192.92333106823128
50000,50.0,0.0317091077540472,3155.7293804567685,254.26464274623805
50000,50.0,0.0402379081355413,3369.7363176718613,330.07861630940613
50000,50.0,0.0510404826516484,3585.0119965625463,432.9874641222259
50000,50.0,0.0635650627251807,3786.172218122234,552.4425908893339
