f,T,b,mu_real,mu_imag,h_offset
50000,25.0,0.0404789338025765,1381.8986223205427,31.14772141847697,0.0
50000,25.0,0.0503048340923752,1410.209703124265,39.30366541478304,0.0
50000,25.0,0.0637489114455471,1450.03069633608,55.23168775009772,0.0
50000,25.0,0.0808813847479222,1501.3829522551848,72.06625705295347,0.0
50000,25.0,0.1019723050970613,1550.7290434502647,94.51334213993714,0.0
50000,25.0,0.1273557480515151,1601.313447459721,121.65736286936114,0.0
50000,25.0,0.1609461595340487,1697.4375101037708,168.02507974197647,0.0
50000,25.0,0.2014401510807874,1784.091887647738,231.49277375146525,0.0
50000,25.0,0.2490481574349606,1841.8226917092804,302.4727226575954,0.0
50000,25.0,0.3026197932672732,1834.22321991641,361.9686408853257,0.0
63000,25.0,0.0393070789023805,1469.6078245030194,38.10297919437728,0.0
63000,25.0,0.0498922223864827,1479.1205424238544,51.86948548358862,0.0
63000,25.0,0.0629216929448321,1510.3823682280884,64.36592128620518,0.0
63000,25.0,0.0796227931868737,1559.8858518222382,83.12149384684541,0.0
63000,25.0,0.0996356605859101,1580.1573816988182,102.65644805207216,0.0
63000,25.0,0.12649834772284,1641.2010395559498,132.8302864397569,0.0
63000,25.0,0.1589534255240174,1723.9286565181435,179.93148812850907,0.0
63000,25.0,0.1982522364053897,1786.5293679684876,241.57439489913003,0.0
63000,25.0,0.2462592822824994,1836.8070280688023,319.039208728617,0.0
63000,25.0,0.2974662167967901,1831.1960856878804,381.86647533316113,0.0
79000,25.0,0.0310582842813755,1446.0234640801098,28.21596987241133,0.0
79000,25.0,0.0393225645561352,1460.5532490848104,36.601149205442205,0.0
79000,25.0,0.0496921924079281,1485.4716404576786,46.172662719292944,0.0
79000,25.0,0.0630016982174217,1512.433192545472,59.72583371920803,0.0
79000,25.0,0.0787994155372206,1547.882776366358,76.1106993839998,0.0
79000,25.0,0.100116875053846,1592.5469485939648,99.56592785701687,0.0
79000,25.0,0.1263590697108856,1648.100838299914,128.43566871114407,0.0
79000,25.0,0.1583018388328136,1726.5574951709211,173.28531713525078,0.0
79000,25.0,0.1994673084671217,1796.388259787325,239.161025239859,0.0
79000,25.0,0.2471666042564447,1854.2953543475376,312.0444673848332,0.0
79000,25.0,0.2982417695027738,1841.175367725967,368.54581687911457,0.0
99000,25.0,0.0308740167646366,1439.561783992238,26.63517332696379,0.0
99000,25.0,0.0393609225593995,1469.3227056192604,32.50903315695374,0.0
99000,25.0,0.0495258798928492,1486.8990473872927,42.56187123911344,0.0
99000,25.0,0.0624104681139245,1503.136807334267,54.01334343054045,0.0
99000,25.0,0.0782326425156432,1556.6467461924888,72.55099596425549,0.0
99000,25.0,0.0995169201881609,1602.0702123925523,97.74183499025928,0.0
99000,25.0,0.1248599552721857,1651.411570112651,127.12797100444848,0.0
99000,25.0,0.1573090576166601,1732.0120065981598,178.70900768560134,0.0
99000,25.0,0.1946629969541412,1802.128101231855,239.42365144378817,0.0
99000,25.0,0.2438339862316383,1862.7272513050148,319.8384704547654,0.0
99000,25.0,0.2979851274747501,1843.364616161177,390.7413353910272,0.0
125000,25.0,0.0244953336687871,1425.7754305760552,16.40009641250666,0.0
125000,25.0,0.0312878804374901,1450.7076628187576,23.37148361480057,0.0
125000,25.0,0.0393929363206042,1475.3270598644235,29.425928701784574,0.0
125000,25.0,0.0495425863886323,1484.189149165368,37.80033549667135,0.0
125000,25.0,0.0622919856455517,1515.1125961263435,51.257133695365575,0.0
125000,25.0,0.0789569532575696,1569.5252155135288,71.8374271806375,0.0
125000,25.0,0.0990702431123974,1605.3693163754117,96.40552922445607,0.0
125000,25.0,0.125232680516569,1661.61373307625,134.6475118419187,0.0
125000,25.0,0.1564354014296629,1741.902297420015,184.0745960074025,0.0
125000,25.0,0.1961842237145463,1812.6641577202288,253.40288731212925,0.0
125000,25.0,0.2434891280430789,1861.018112593097,341.1526436577007,0.0
125000,25.0,0.2977367839882178,1861.4065342563813,410.7241114167487,0.0
158000,25.0,0.0254985285763052,1447.2014200113558,15.80010067522566,0.0
158000,25.0,0.0312406791055073,1456.8334434734315,20.912384819580726,0.0
158000,25.0,0.0391707528053874,1470.4277695121957,25.02408412436349,0.0
158000,25.0,0.0493854080665865,1496.9528851069397,36.25485158794467,0.0
158000,25.0,0.0624392500159772,1526.510026309239,50.8100134090195,0.0
158000,25.0,0.0785971920291711,1574.255289498165,71.28278848284228,0.0
158000,25.0,0.099317287644637,1612.4293175195728,104.02808820179798,0.0
158000,25.0,0.1247207708466726,1671.7717581056395,138.39917700878328,0.0
158000,25.0,0.1559311771937142,1745.0559776799348,191.3802978762316,0.0
158000,25.0,0.1960745848446434,1807.7516804973088,272.5373242791434,0.0
158000,25.0,0.2434655106830974,1874.9697577473505,362.472697393438,0.0
199000,25.0,0.0214660568245601,1435.9674730517,12.238869858496622,0.0
199000,25.0,0.0249206370237773,1442.2905366208593,15.083540206318007,0.0
199000,25.0,0.0311118297221339,1449.3916524712338,19.6163230369083,0.0
199000,25.0,0.0393465973535578,1483.9272282994534,25.997740858514888,0.0
199000,25.0,0.0494874129253272,1506.8546955578397,37.35418446257248,0.0
199000,25.0,0.0622890489345591,1531.6764683488082,52.34747932943545,0.0
199000,25.0,0.07880336349559,1576.4337741402776,80.86122397155506,0.0
199000,25.0,0.0988600134622187,1617.9053291209896,108.74432127261932,0.0
199000,25.0,0.1235589089494583,1670.540141979758,144.15397814673966,0.0
199000,25.0,0.155976809439485,1738.880894948805,207.9028895577629,0.0
199000,25.0,0.1949809300050018,1815.5357373301756,288.84025425799626,0.0
251000,25.0,0.0224963610776147,1440.9096980441943,15.074404107441444,0.0
251000,25.0,0.0246181887723851,1436.4443064595278,14.8463636267396,0.0
251000,25.0,0.0310840413142244,1461.364092642233,21.9784698742402,0.0
251000,25.0,0.0393495928732783,1493.4933104096958,28.901340672275108,0.0
251000,25.0,0.0494240698623955,1510.858733421539,40.30523481799429,0.0
251000,25.0,0.0625836494059346,1532.7113407501622,64.18522620479415,0.0
251000,25.0,0.0782544973815795,1583.9101278886503,85.69267965218597,0.0
251000,25.0,0.0984472785418593,1618.4294976899798,114.9179025000688,0.0
251000,25.0,0.1239248122241434,1662.4056996790123,159.3081280254095,0.0
251000,25.0,0.154969102544348,1742.8702122986729,221.2799753974016,0.0
316000,25.0,0.0184882883686312,1441.0330544891438,15.503642932459812,0.0
316000,25.0,0.0196438571986714,1433.4859185643827,14.39988040035007,0.0
316000,25.0,0.0245985442396465,1446.440764004317,18.964707283941934,0.0
316000,25.0,0.0310994673843839,1472.0550175167382,26.867655494003905,0.0
316000,25.0,0.0393040756432276,1498.6230415027526,33.77525424906372,0.0
316000,25.0,0.0495164701671274,1511.2148424175664,53.01176244366363,0.0
316000,25.0,0.0620968669863926,1541.0372829818402,69.78474968903532,0.0
316000,25.0,0.0781940493227599,1586.6802102735555,93.45127563620667,0.0
316000,25.0,0.0983695100563998,1611.3560914299885,129.14207533937406,0.0
316000,25.0,0.1230987643807069,1668.680096252035,171.3235434809291,0.0
398000,25.0,0.0188571360475972,1446.9735391219267,19.37821390257086,0.0
398000,25.0,0.019483303659685,1448.3776238846149,19.872785422862144,0.0
398000,25.0,0.0247773189226759,1461.1672630273367,25.436529867637702,0.0
398000,25.0,0.0310517281466891,1478.992825368828,33.03205453049041,0.0
398000,25.0,0.0391803287064775,1502.7891029393904,47.70665043464688,0.0
398000,25.0,0.0493264702368515,1524.118623816897,60.9020063102002,0.0
398000,25.0,0.0620866888239436,1549.8734413662896,78.99192410362677,0.0
398000,25.0,0.0781010291805499,1583.353460402252,107.97755887618936,0.0
398000,25.0,0.0981033629776587,1622.3179116867143,142.51523230694818,0.0
501000,25.0,0.0191798096665802,1469.756525659861,27.30358239593145,0.0
501000,25.0,0.0196576366717531,1470.9226376683653,27.913031462786808,0.0
501000,25.0,0.024763959060012,1476.5036698008607,33.76759427408721,0.0
501000,25.0,0.0311120393672047,1489.671256102892,48.077078653514135,0.0
501000,25.0,0.0391636342841611,1522.9891962691938,57.87814192288409,0.0
501000,25.0,0.0492883903492094,1539.7825191780644,72.59109774538271,0.0
501000,25.0,0.0619795898358201,1554.325572301907,96.05659738177002,0.0
501000,25.0,0.0778686408847575,1604.7859202649267,124.9425433621694,0.0
630000,25.0,0.0154285917832392,1484.6953150174015,33.9871550879009,0.0
630000,25.0,0.0155202219610922,1484.1517091812775,34.279987546403845,0.0
630000,25.0,0.0195803572408571,1495.6956645078872,38.46466333389508,0.0
630000,25.0,0.0247465840983396,1495.6657507062414,51.14727958475886,0.0
630000,25.0,0.0311395712194103,1522.989840272489,62.12965600256716,0.0
630000,25.0,0.0391070594168885,1549.4744575172206,72.90350056091827,0.0
630000,25.0,0.0494374172291135,1555.257673284022,93.46826670581294,0.0
630000,25.0,0.0618541981237399,1585.8801621754158,117.16212905635824,0.0
794000,25.0,0.0155087665876852,1537.5335610432708,52.0682959107399,0.0
794000,25.0,0.0157118758591876,1536.0938108428966,52.0416041659224,0.0
794000,25.0,0.0196445246633949,1538.3324646630103,62.71008633791415,0.0
794000,25.0,0.0247588884675691,1553.3476191743607,72.45337020237899,0.0
794000,25.0,0.0311381143897958,1575.6106700961132,86.01058582881917,0.0
794000,25.0,0.0392810200906654,1594.5108633938466,104.04218664545807,0.0
794000,25.0,0.0492542669508397,1614.085488768097,125.80919099634212,0.0
50000,50.0,0.0399539402085718,1496.3893254026086,30.413815433273623,0.0
50000,50.0,0.0496783430158837,1508.168096877003,36.07964715939071,0.0
50000,50.0,0.0625958959932596,1527.858616535063,50.09821093829665,0.0
50000,50.0,0.078989768783834,1591.4301566770598,67.26205199585293,0.0
