probe,f,T,b,mu_real,mu_imag,h_offset
AT2,159610.0,32.206,0.0099197777943955,1207.806780232111,11.29589599734778,0
AT2,154810.0,32.177,0.0331726987580982,1287.7916916103652,38.9591651743328,0
AT2,150010.0,32.189,0.0575888236518754,1398.8655085239889,70.60591675633793,0
AT2,146110.0,32.158,0.0801088752291709,1480.954114349445,103.24234102627535,0
AT2,143110.0,32.158,0.1000425925568826,1546.4499643914355,132.66392518318273,0
AT2,140110.0,32.154,0.1190280556679273,1610.1028492221126,165.01948010573668,0
AT2,138610.0,32.15,0.1332933481618433,1649.9681863839107,189.4710806390989,0
AT2,136510.0,32.122,0.1471542213894161,1669.554954473852,222.5974626370944,0
AT2,135610.0,32.106,0.1589123990319911,1700.4578682596414,243.9126827122734,0
AT2,134710.0,32.108,0.1706695944458514,1727.7037298866185,264.6502814492014,0
AT2,133510.0,32.102,0.1837363364924544,1749.4070600452935,288.6288917921233,0
AT2,132910.0,32.09,0.1944016313210941,1769.658233333401,308.19425334652624,0
AT2,131110.0,32.111,0.2092497897914289,1785.9212315561188,334.94637730274013,0
AT2,131110.0,32.08,0.2175981519911672,1794.839536630583,349.75867062626827,0
AT2,131110.0,32.084,0.2250313071654632,1788.55772043309,361.3032361406383,0
AT2,131110.0,32.092,0.2340513391650427,1800.59215365789,379.2069268755321,0
AT2,292130.0,32.049,0.010461746600969,1290.4959490543977,20.515037008509456,0
AT2,282530.0,32.055,0.0356716337629487,1429.0745817855238,65.65487261016908,0
AT2,278630.0,32.033,0.0538215667116596,1481.5550205030806,99.42124821794803,0
AT2,273830.0,32.03,0.0717868562673782,1524.6038974575763,134.06828808268898,0
AT2,270230.0,32.018,0.0878694816081483,1563.4422381071586,161.652245415312,0
AT2,267230.0,32.008,0.1031943064538002,1608.8716740255325,186.60961179144192,0
AT2,263630.0,31.981,0.1185070005814967,1639.324104535195,217.66412104245248,0
AT2,262730.0,31.986,0.1290623902476397,1655.9973385615006,239.5932231595025,0
AT2,261230.0,31.975,0.1406018169974544,1677.146719644611,262.2112871316925,0
AT2,259430.0,31.965,0.1528198868615516,1706.5195799297512,289.6215556242836,0
AT2,258230.0,31.957,0.1635046681928542,1728.9582242276572,313.6498431313439,0
AT2,257030.0,31.948,0.1736195275434305,1749.371516418331,335.0167061704309,0
AT2,494020.0,31.896,0.0104285561324684,1272.9355265303195,25.15779880878433,0
AT2,482920.0,31.879,0.031300837470713,1410.9234959441726,68.87951307101416,0
AT2,471220.0,31.852,0.0495350313082018,1451.2468174153587,109.20275493943414,0
AT2,467920.0,31.834,0.0630571228753528,1489.3017826325986,138.0632420449331,0
AT2,462520.0,31.829,0.0767952474598407,1523.524247443512,166.6725089830187,0
AT2,458320.0,31.811,0.0895769177471042,1555.1327100547885,190.42442801703365,0
AT2,454420.0,31.79,0.1019789122878456,1603.984628489251,221.45627020928617,0
AT2,451720.0,31.762,0.1123682088813321,1614.6133142407502,244.3875054481365,0
AT2,448420.0,31.762,0.1236186928243661,1643.080046394782,270.7600151871594,0
AT2,446920.0,31.75,0.1325814516017812,1652.5584059155988,291.90658976174444,0
AT2,675970.0,31.694,0.0102379820458331,1324.2079538571004,31.244549016484854,0
AT2,662770.0,31.69,0.0282426346953826,1386.3282137574529,75.26418087116996,0
AT2,653170.0,31.666,0.0430009317238032,1447.333947262247,111.11576767362428,0
AT2,645370.0,31.639,0.055932859078671,1470.4469020994975,144.48212581654843,0
AT2,639370.0,31.645,0.0677519507076851,1507.3904672164117,171.43351337616843,0
AT2,629170.0,31.606,0.0805510248583227,1531.856809892851,204.53086011883403,0
AT2,629170.0,31.602,0.0890906596932175,1560.94975132081,226.30953256177617,0
AT2,626470.0,31.609,0.0983260612282327,1591.596386023575,250.30048019707544,0
AT2,623770.0,31.593,0.1075202576192192,1611.3624142133904,272.2894888016821,0
AT2,621670.0,31.578,0.1159542182000593,1628.252455510617,293.4221544865632,0
AT2,911010.0,31.499,0.0103121196204445,1354.3629752293236,47.93253362759622,0
AT2,898410.0,31.485,0.0250515428554737,1401.756594587294,92.7803946580206,0
AT2,885810.0,31.449,0.0370548617276934,1432.9122645938228,129.70215280904566,0
AT2,880410.0,31.436,0.0472145206395692,1467.8830081317622,160.56019504499747,0
AT2,873510.0,31.385,0.0566070211927182,1492.389160990707,192.713591156504,0
AT2,868710.0,31.397,0.065246642895318,1513.1498610609756,217.15424886099856,0
AT2,864510.0,31.377,0.0734231409767148,1538.2164911585453,242.96865727531693,0
AT2,860610.0,31.36,0.0814735347838807,1556.5977830904526,263.23049598720826,0
AT2,858210.0,31.37,0.0886517016269802,1572.5155724397382,282.1325460829212,0
AT2,855810.0,31.366,0.095593996163584,1603.2055184502224,305.4638620052937,0
AT2,1011780.0,31.344,0.0104855052582619,1353.970962345467,57.10444315642115,0
AT2,997980.0,31.33,0.0240328957621744,1401.1851332877184,101.7263902777739,0
AT2,988080.0,31.303,0.0344698262745455,1434.9602513005757,137.7169196172508,0
AT2,979980.0,31.286,0.044271224758453,1469.623178759424,169.68591500362237,0
AT2,973080.0,31.27,0.0526435650924074,1489.8172205809858,201.8898349144628,0
AT2,967380.0,31.248,0.0606830872340627,1508.407226472037,226.854402488046,0
AT2,964380.0,31.253,0.0678063390857983,1524.310680939243,250.29317809189047,0
AT2,960780.0,31.233,0.0751833491017679,1551.3299755326957,272.5783228604736,0
AT2,957480.0,31.22,0.0816306760604839,1559.6301235461203,291.8525892015351,0
AT2,957480.0,31.22,0.0874714231002106,1619.5928426918986,369.4157218918796,0
AT2,1102020.0,31.175,0.0103038330781612,1361.4542514705747,67.19105937791154,0
AT2,1088220.0,31.134,0.02282369674129,1401.0891199486175,108.39382322650754,0
AT2,1078020.0,31.127,0.0324204794786837,1433.431307955697,146.75942960257228,0
AT2,1071120.0,31.123,0.0413084376758793,1468.96085940773,180.8448327063041,0
AT2,1064520.0,31.119,0.0489709001012271,1487.1000791273032,213.44242206530464,0
AT2,1059120.0,31.102,0.0563094907737106,1506.3334021806377,238.237422122702,0
AT2,1054920.0,31.093,0.0631605384884022,1521.5284863083225,260.7426975178809,0
AT2,1052820.0,31.113,0.0695514299736182,1544.488316050333,283.1269138976963,0
AT2,1050120.0,31.064,0.0755246327771906,1557.8277586942884,303.6335909897128,0
AT2,1048020.0,31.068,0.0812389401014389,1561.3539013033342,320.1026156122403,0
AT2,155410.0,58.043,0.0100765436137919,1271.3518327329543,11.232797372916089,0
AT2,151210.0,58.04,0.0354033515487984,1351.8911586613783,38.13654653759042,0
AT2,147310.0,58.028,0.0602729696536383,1449.351628639184,68.13035452216609,0
AT2,144010.0,58.002,0.0830581536274778,1528.980625706709,100.39720854838534,0
AT2,141310.0,58.01,0.1023642115737478,1591.727583716473,134.67045503899115,0
AT2,139210.0,58.02,0.1196914947609398,1642.8343168070876,164.55123308543494,0
AT2,137410.0,58.005,0.1348044652963043,1684.4216560036427,194.87163384399045,0
AT2,135910.0,58.011,0.1467320995834388,1700.6091016544628,225.89411471074945,0
AT2,134710.0,58.014,0.1592911554211134,1728.1529551148517,250.4707322911318,0
AT2,133810.0,58.014,0.170736150726429,1757.5992136114346,276.0324785219673,0
AT2,132910.0,57.999,0.182624085059906,1773.8132594118476,301.53694902441964,0
AT2,132310.0,58.014,0.1927122601973594,1785.6466504615296,322.7881829199461,0
AT2,131110.0,58.019,0.2048708848445158,1801.128382584341,348.6683489215898,0
AT2,131110.0,57.991,0.2128278504466952,1802.5993432395835,362.1105785812404,0
AT2,131110.0,58.022,0.2206737630740004,1808.0303805721203,376.6546555478368,0
AT2,130810.0,58.007,0.2293938260511134,1805.5057412175736,395.1105290715717,0
AT2,130510.0,57.987,0.238382576129029,1805.4533740333447,407.7504434529005,0
AT2,288490.0,57.995,0.0104300893475329,1319.2369895004388,18.03972910937392,0
AT2,281290.0,58.01,0.0348020557275297,1455.8846642330625,56.93098578464127,0
AT2,275590.0,58.007,0.0557930863339109,1514.740728257798,93.12249534571704,0
AT2,271090.0,58.017,0.0741367198237253,1547.8349934683508,128.59727409877627,0
AT2,267790.0,58.01,0.0907325959256346,1593.2853331177564,156.77195352110735,0
AT2,265090.0,57.997,0.1056894292154251,1639.9209894382338,187.27977738803267,0
AT2,262090.0,57.99,0.1197397056932002,1663.5562164332562,219.5672434559465,0
AT2,260890.0,57.994,0.1302192580307663,1678.074442176871,244.0488537348068,0
AT2,259690.0,58.006,0.1407953757465075,1704.0074712792662,270.4380332949192,0
AT2,258490.0,58.02,0.1510468921400286,1728.8046903198158,300.2771728334189,0
AT2,257290.0,58.03,0.1613334370449142,1752.1694482867986,328.9847490459798,0
AT2,253990.0,58.022,0.1731116541710615,1765.2158579780537,362.6722315902931,0
AT2,486520.0,58.015,0.0103018170198097,1327.9084275872783,24.31319295958429,0
AT2,476020.0,57.996,0.0321999427151448,1451.6064016800776,63.80926067060015,0
AT2,468220.0,57.984,0.0495459387501992,1485.8006816964796,101.57786100312627,0
AT2,462520.0,58.021,0.0652680174655874,1523.0380593727011,133.36066460943655,0
AT2,458020.0,57.997,0.0788901868612734,1556.217394721122,162.1922672674113,0
AT2,454420.0,57.994,0.0913190448660687,1601.1644546931702,190.99011091431183,0
AT2,451420.0,57.989,0.1028584003391683,1625.5725993169226,222.31764019004925,0
AT2,449320.0,57.973,0.1124157219435973,1637.359464810634,250.44001829013,0
AT2,445720.0,57.999,0.1228502532232538,1658.3486218397277,280.362156916846,0
AT2,443320.0,58.001,0.1318233509175459,1673.736062756915,308.4269887776472,0
AT2,664770.0,57.975,0.0102373071977478,1365.1290409507544,31.93874648992798,0
AT2,652470.0,57.982,0.0289922383664354,1434.0649355035043,73.90036271930755,0
AT2,643770.0,57.969,0.044115689439502,1478.407930507406,110.07157432750202,0
AT2,637470.0,57.987,0.0573947726982609,1504.2076357973597,141.24086983920014,0
AT2,632670.0,57.987,0.0692544460263303,1546.379086001695,171.0835957693977,0
AT2,628770.0,57.972,0.0794136379863926,1562.1888587258306,203.29797927983475,0
AT2,625770.0,57.977,0.0890582558504092,1581.4325498733667,229.4982477986574,0
AT2,623070.0,57.98,0.0978727514879633,1613.894580234524,256.72550748729503,0
AT2,621270.0,57.98,0.1057972439847748,1627.170509970812,280.3898649960447,0
AT2,619770.0,57.98,0.1135371316964257,1639.3235974596928,303.5474584085305,0
AT2,894630.0,57.888,0.0103991801107409,1389.1270699552183,53.41947473179086,0
AT2,882030.0,57.854,0.0255676952951,1445.9437398459338,98.3220022230218,0
