h,b,T,f,branch
13.32019,0.08727,25,10000,r
14.48854,17.65365,25,10000,r
15.697,32.11699,25,10000,r
17.44774,50.14838,25,10000,r
19.44333,69.75384,25,10000,r
21.11651,86.95154,25,10000,r
22.77094,102.03657,25,10000,r
25.05186,120.89447,25,10000,r
28.28086,146.7969,25,10000,r
31.62222,167.41753,25,10000,r
34.43134,186.19032,25,10000,r
36.65385,200.60629,25,10000,r
39.68711,217.01506,25,10000,r
42.77392,231.43964,25,10000,r
47.11748,249.66883,25,10000,r
53.56578,267.25297,25,10000,r
60.25712,281.01402,25,10000,r
67.98907,294.2162,25,10000,r
76.20567,305.52199,25,10000,r
87.44215,318.55732,25,10000,r
103.01073,331.22066,25,10000,r
122.94059,343.27258,25,10000,r
146.15598,353.08607,25,10000,r
172.47561,359.83477,25,10000,r
197.99461,363.52696,25,10000,r
224.44887,366.62713,25,10000,r
250.61899,369.15054,25,10000,r
276.64413,371.43794,25,10000,r
302.38513,373.30103,25,10000,r
328.8038,375.02187,25,10000,r
362.37965,376.81361,25,10000,r
362.02302,378.29875,25,10000,f
332.37013,376.51767,25,10000,f
302.38513,374.30691,25,10000,f
276.2875,372.43691,25,10000,f
250.18987,370.14973,25,10000,f
224.09224,367.60539,25,10000,f
197.99461,364.56046,25,10000,f
171.76235,360.58622,25,10000,f
145.79935,354.29441,25,10000,f
120.06419,344.6711,25,10000,f
96.50966,332.16416,25,10000,f
78.38047,318.38812,25,10000,f
64.96919,304.87018,25,10000,f
55.52755,292.35067,25,10000,f
45.76427,277.21351,25,10000,f
38.50909,263.27997,25,10000,f
32.69795,248.81046,25,10000,f
27.28428,232.47174,25,10000,f
23.28548,218.7881,25,10000,f
18.09699,198.41845,25,10000,f
13.69177,180.16495,25,10000,f
10.59913,165.61854,25,10000,f
7.9527,150.8566,25,10000,f
5.16796,134.53653,25,10000,f
2.65929,116.94405,25,10000,f
0.11092,98.46433,25,10000,f
-3.25597,75.53437,25,10000,f
-6.0239,54.48052,25,10000,f
-8.24916,38.66182,25,10000,f
-10.21676,22.64235,25,10000,f
-12.98252,0.13104,25,10000,f
362.02302,378.29875,25,10000,f
9.79895,0.06656,100,10000,r
10.83644,21.71613,100,10000,r
12.44007,43.91628,100,10000,r
13.81013,59.7573,100,10000,r
15.34124,73.44888,100,10000,r
16.99772,88.99304,100,10000,r
18.4232,102.89577,100,10000,r
20.55605,119.30787,100,10000,r
23.12024,134.36722,100,10000,r
26.8043,147.85265,100,10000,r
30.47475,161.2344,100,10000,r
36.18893,176.60652,100,10000,r
43.44968,190.13258,100,10000,r
55.7487,203.88238,100,10000,r
73.54959,214.83899,100,10000,r
99.30078,222.48181,100,10000,r
125.40349,225.5791,100,10000,r
151.50553,227.82572,100,10000,r
177.6073,229.71962,100,10000,r
203.70878,231.26081,100,10000,r
229.81009,232.58067,100,10000,r
255.91128,233.74839,100,10000,r
282.0124,234.82619,100,10000,r
308.11341,235.76568,100,10000,r
334.21432,236.57376,100,10000,r
368.78608,237.2052,100,10000,r
368.06962,238.67198,100,10000,f
337.75182,238.02506,100,10000,f
310.23046,237.21629,100,10000,f
281.28833,236.01769,100,10000,f
255.18724,234.97446,100,10000,f
229.08601,233.75834,100,10000,f
202.98478,232.53529,100,10000,f
176.88317,230.84196,100,10000,f
150.78149,229.0518,100,10000,f
124.67956,226.9435,100,10000,f
98.57675,223.72863,100,10000,f
72.4711,216.90726,100,10000,f
48.89914,205.22192,100,10000,f
32.93765,190.8696,100,10000,f
23.5023,177.87634,100,10000,f
16.96623,163.93545,100,10000,f
12.49193,150.23439,100,10000,f
9.7609,137.11673,100,10000,f
6.78265,121.51083,100,10000,f
4.21229,108.00104,100,10000,f
1.94843,92.76812,100,10000,f
-0.35501,78.19346,100,10000,f
-2.32066,60.54942,100,10000,f
-4.52265,39.48042,100,10000,f
-6.52569,21.42548,100,10000,f
-7.57171,0.01386,100,10000,f
