f,mu_real
10075.29474,2160.94662
18893.82808,2175.62200
28923.47539,2180.03252
40130.84067,2177.77840
55316.54702,2189.65369
75750.38045,2201.85839
101712.47146,2212.13268
138374.44801,2228.37495
191989.35544,2249.71819
257786.78265,2281.86402
348398.42168,2371.07584
473938.77421,2530.19623
644676.47159,2818.16933
774251.77376,3071.93057
893069.06884,3186.05887
1059855.42947,3027.68448
1336216.94703,2131.76662
1624242.81057,1080.72084
1843272.19000,555.49723
1992287.78461,327.89610
2128534.31933,189.66776
2264576.33183,90.99284
2327364.17311,60.48274
2369112.06314,41.42819
2412096.39129,18.20342
