f,p_v,T,b
100000,4368.57925096542,25,25
110848.146209924,4885.8810756372,25,25
123780.364485454,5619.48133810798,25,25
138221.333924121,6373.44497344312,25,25
155486.715897949,7433.66381126191,25,25
173626.740947438,8549.80594379429,25,25
195314.652055097,9972.06115413601,25,25
216502.671079438,11630.9076855723,25,25
238230.194388546,13191.4220663913,25,25
258309.616761168,14961.3100574714,25,25
280081.449299734,16968.6632350345,25,25
303688.338147975,19245.342211207,25,25
326871.455449282,21524.2640460553,25,25
351824.337539991,24412.166219166,25,25
375906.53185938,27302.9133943659,25,25
407590.114392673,30535.9660887035,25,25
438704.939184576,34632.9648356485,25,25
472195.023551343,39832.9997321712,25,25
504516.529201928,45177.3778833554,25,25
99267.0490934022,1293.55872091971,100,25
108428.579938894,1487.78264952083,100,25
114158.429959344,1640.84224446551,100,25
121972.515570078,1887.20974350581,100,25
130321.471307825,2140.41594408599,100,25
137208.239404013,2393.87158946258,100,25
147682.512891786,2792.09072605871,100,25
158956.376882091,3256.55338275399,100,25
168592.038041768,3693.48388921792,100,25
178811.796346872,4248.0493214534,100,25
189651.058758028,4885.8810756372,100,25
201147.378544695,5541.41784779825,100,25
214915.812788953,6646.61070988023,100,25
227943.638350347,7538.38389533332,100,25
243546.262748091,8916.25047210865,100,25
260216.878732961,10545.9636422327,100,25
280081.449299734,12473.5559517085,100,25
294882.202928548,14147.1281241312,100,25
315066.737523024,16500.494600305,100,25
331716.26990145,18714.3595720255,100,25
351824.337539991,22134.9721221521,100,25
378682.085639196,25817.1117681811,100,25
410599.607941567,31402.3632422548,100,25
438704.939184576,36117.333082923,100,25
465298.475260169,41540.2413811815,100,25
489886.923061361,46459.1959037628,100,25
24534.4517614232,5095.28985028447,25,0.05
26602.3576407042,5541.41784779825,25,0.05
29057.5360943197,6111.50593927884,25,0.05
31506.6737523024,6646.61070988023,25,0.05
34414.4801800826,7330.39845490935,25,0.05
37868.2085639196,8198.42173626741,25,0.05
41363.132246958,9041.85616571379,25,0.05
45180.6085939188,9972.06115413601,25,0.05
49714.7915739702,11152.8948152475,25,0.05
54704.0108170646,12473.5559517085,25,0.05
60193.9323233603,13950.6021223916,25,0.05
64789.0478368163,15172.0741822444,25,0.05
68716.4480711383,16500.494600305,25,0.05
73962.1597961178,17945.2274477622,25,0.05
80196.1195590662,19516.4566852417,25,0.05
86955.5136039931,21524.2640460553,25,0.05
95682.0939240714,24073.0425907688,25,0.05
106061.827369672,27302.9133943659,25,0.05
115850.460273045,30535.9660887035,25,0.05
125615.008926736,33677.4347718388,25,0.05
136202.570369375,37142.0903965122,25,0.05
148772.945544929,41540.2413811815,25,0.05
160130.051546637,45813.8041369752,25,0.05
174908.736114508,51960.6244994529,25,0.05
191051.371517634,58113.5003706442,25,0.05
210224.682900769,66839.066643139,25,0.05
231322.167172454,76874.750294386,25,0.05
250819.340948967,85977.8124832394,25,0.05
269966.51741981,96158.8065144312,25,0.05
290575.360943197,107545.374826585,25,0.05
317393.072928532,123692.987504614,25,0.05
346685.838799352,140288.8277456,25,0.05
375906.53185938,159111.325446,25,0.05
404602.678954029,177952.36603396,25,0.05
432297.523503004,199024.453402796,25,0.05
465298.475260169,225727.487255861,25,0.05
497147.915739702,252456.827466463,25,0.05
24898.0958315559,1206.17265254047,100,0.05
27599.0776708502,1368.00437031559,100,0.05
30146.2451720288,1508.74145638828,100,0.05
32447.5648153157,1640.84224446551,100,0.05
35967.5240880412,1835.14126899917,100,0.05
38713.2315296103,1995.82062651359,100,0.05
41976.2071960127,2201.14597882552,100,0.05
46188.8065867364,2461.79292278647,100,0.05
50824.1691285916,2753.3041665484,100,0.05
55924.7219942988,3122.71392052637,100,0.05
59752.7403506795,3396.12920191513,100,0.05
65749.3363847122,3851.78654199375,100,0.05
71817.4584741719,4430.12063863763,100,0.05
78445.6182418393,5024.50820943167,100,0.05
86318.1723786959,5860.3322067536,100,0.05
92907.5736302999,6646.61070988023,100,0.05
100738.362743017,7538.38389533332,100,0.05
108428.579938894,8670.24943168407,100,0.05
116705.856909315,9833.53344091185,100,0.05
124694.312579984,11152.8948152475,100,0.05
134213.291454765,12827.4682314061,100,0.05
143400.121984051,14548.5246773651,100,0.05
153215.786321518,16500.494600305,100,0.05
162503.462791413,18714.3595720255,100,0.05
171090.870927933,20639.6490601547,100,0.05
184151.694251259,24073.0425907688,100,0.05
196756.782677524,28077.579123946,100,0.05
210224.682900769,32293.3426875699,100,0.05
224614.45394318,37665.3213264633,100,0.05
239989.197386528,43320.6553764302,100,0.05
256416.334083288,49825.120725172,100,0.05
273967.899808491,58113.5003706442,100,0.05
292720.861148787,66839.066643139,100,0.05
310465.094426644,76874.750294386,100,0.05
329284.952493876,87189.0057763609,100,0.05
349245.63786836,98887.120922791,100,0.05
370416.30553205,112154.767649041,100,0.05
398693.336892017,132654.427511851,100,0.05
425983.690026805,154721.413820537,100,0.05
448494.569136233,175480.326006479,100,0.05
475681.535679624,201828.166083619,100,0.05
24715.6050124329,25458.4712223582,25,0.1
27396.7899808491,28077.579123946,25,0.1
30593.0659691746,31844.7370436887,25,0.1
34162.2389356018,35615.6061598327,25,0.1
38713.2315296103,40963.1816784411,25,0.1
42286.1438708795,45177.3778833554,25,0.1
46529.8475260169,50527.0210214033,25,0.1
51958.3022643938,57306.2118683612,25,0.1
57172.6731445436,64092.0812005885,25,0.1
63374.8483193859,72691.2909195517,25,0.1
70249.8445253906,82444.2532769927,25,0.1
78445.6182418393,94823.0084916439,25,0.1
88895.9118635194,112154.767649041,25,0.1
100000,130811.647548087,25,0.1
111666.607622863,150452.620688841,25,0.1
125615.008926736,175480.326006479,25,0.1
142349.069489907,210478.517636305,25,0.1
163703.327816777,256013.256821882,25,0.1
189651.058758028,311398.941823607,25,0.1
216502.671079438,373505.048458406,25,0.1
241761.188207294,435637.394473169,25,0.1
269966.51741981,515263.241839427,25,0.1
305930.659691746,618028.503838289,25,0.1
341622.389356018,730991.816765402,25,0.1
378682.085639196,876782.471850265,25,0.1
413631.322469579,1022634.72243034,25,0.1
445207.324125707,1159841.22718637,25,0.1
475681.535679624,1333987.87863294,25,0.1
500818.670727208,1512968.51580429,25,0.1
24898.0958315559,7538.38389533332,100,0.1
