f,mu_imag
10288.27522,8.80831
20311.83389,8.80614
35823.19728,8.8101
63600.62707,8.80793
113668.54342,8.81794
153480.25429,8.79973
215653.14274,9.14351
297039.04497,10.25455
382256.19576,12.34061
524863.13127,16.39798
668693.53492,21.89261
817378.89634,30.46706
930880.67323,41.50976
1057320.06454,63.12392
1154828.89177,93.72962
1205635.4251,116.60454
1268724.88722,156.80898
1319103.91015,199.91377
1447176.8209,316.02758
1565952.96567,469.34226
1739112.90046,705.3217
1941526.33772,1032.11281
2211289.17143,1485.28174
2559602.41449,2000.06354
2815579.03881,2095.70983
3193910.67967,1963.19011
3512149.10904,1630.11104
4145420.54404,1229.03873
4866765.85805,918.5701
5844992.48612,670.38054
6998632.36742,513.449
8733381.32315,374.18162
10551308.45628,297.78116
13496895.67909,219.5077
17174810.42022,166.46597
23273564.08869,117.11025
31077816.53454,84.56799
37939352.12639,68.05921
43385548.68561,59.96736
