f,p_v,T,b
24807.2322864189,2083.5663719356353,100.0,0.05
26773.85107523489,2285.3091271062167,100.0,0.05
28896.37558605444,2473.709083769992,100.0,0.05
31404.215711268385,2749.28766451182,100.0,0.05
33659.55993677928,2975.937823436339,100.0,0.05
36327.95608152727,3264.0850616539738,100.0,0.05
38936.90663537568,3533.174909004809,100.0,0.05
41733.22316646617,3824.4484141279113,100.0,0.05
45355.13939259252,4194.75327720609,100.0,0.05
49634.44070966331,4662.061321744957,100.0,0.05
53569.261916035306,5113.468633982041,100.0,0.05
57816.020110207406,5608.583771466009,100.0,0.05
62833.71981032223,6151.638774609209,100.0,0.05
67814.92740831088,6658.777377785888,100.0,0.05
73191.02534876487,7303.518103282477,100.0,0.05
80654.11052129253,8010.68629549399,100.0,0.05
88878.18571994697,9141.325519817648,100.0,0.05
97263.9285994485,10159.696487276427,100.0,0.05
105705.20810009836,11143.416127143673,100.0,0.05
118110.67639400603,12716.213126246797,100.0,0.05
126592.9844518008,13764.53257392949,100.0,0.05
139501.31878249618,15297.942616438291,100.0,0.05
152663.4032825947,17002.179117879696,100.0,0.05
170579.8431922429,18896.27265602645,100.0,0.05
187973.39509828447,21001.373871858257,100.0,0.05
204287.10964342847,23340.98965093559,100.0,0.05
225117.6977060148,25941.245616083917,100.0,0.05
244655.0681807872,28453.024666483765,100.0,0.05
269601.86463599803,32468.9234986064,100.0,0.05
295039.0616079909,37051.6317866264,100.0,0.05
320644.7226017888,41726.58514729955,100.0,0.05
355799.0787674987,47615.93246716095,100.0,0.05
386677.9411905734,53623.82612190915,100.0,0.05
414447.839022593,60389.759875770345,100.0,0.05
450416.6724637901,68913.25321259467,100.0,0.05
486123.9162480226,77608.31545860952,100.0,0.05
521035.6866126414,87400.46866953411,100.0,0.05
566254.9978603175,101061.82951227532,100.0,0.05
602726.7712780589,113813.2068938437,100.0,0.05
637113.5878544748,128173.47683071088,100.0,0.05
673462.2438755755,146264.0567232549,100.0,0.05
711884.6663642691,169126.24599565697,100.0,0.05
752499.1680130401,192996.9557615435,100.0,0.05
795430.8114996928,220236.8101647552,100.0,0.05
829229.4140558688,254661.50582504048,100.0,0.05
870480.4787452368,302346.2505111923,100.0,0.05
913783.6297561493,349605.27887293586,100.0,0.05
952611.154762678,404251.25434555,100.0,0.05
993088.4977885284,461307.82949844503,100.0,0.05
510306.7645361875,2111.257884243831,80.0,0.0125
539420.8274018549,2377.643780498905,80.0,0.0125
566254.9978603175,2749.28766451182,80.0,0.0125
594424.0680253094,3264.0850616539738,80.0,0.0125
632710.1758830599,3774.2864888026115,80.0,0.0125
673462.2438755755,4422.238913483239,80.0,0.0125
706964.4739183784,5181.4288782645135,80.0,0.0125
742133.3147148616,5991.325789167983,80.0,0.0125
768320.0536004514,6747.275454064209,80.0,0.0125
806541.1052129252,7699.595143573505,80.0,0.0125
835000.5220103231,8557.353040762824,80.0,0.0125
870480.4787452368,10026.440686351036,80.0,0.0125
901196.0450052712,11143.416127143673,80.0,0.0125
932995.4333999918,12384.825968374376,80.0,0.0125
965916.88741837,13947.46925803111,80.0,0.0125
1000000.0,15707.277534660183,80.0,0.0125
25153.73085415084,123195.92146503032,25.0,0.2
26960.186463599806,133352.1432163324,25.0,0.2
29299.98984812161,144345.63976565545,25.0,0.2
31404.215711268385,156245.43570743667,25.0,0.2
34367.23387094258,171374.0080951561,25.0,0.2
37091.73159281181,187967.41496878694,25.0,0.2
39755.53391257589,203463.37234903112,25.0,0.2
42907.19464800932,223163.85411283423,25.0,0.2
46630.99675869939,241561.39164729338,25.0,0.2
51743.45473123614,272040.16370769177,25.0,0.2
55845.47018776941,298380.6407295305,25.0,0.2
60692.15106410441,327271.55265878025,25.0,0.2
65959.46257418745,363730.58116403635,25.0,0.2
72685.16541520687,398949.0462785696,25.0,0.2
80654.11052129253,449286.05155212764,25.0,0.2
87653.86777549807,499337.8596835593,25.0,0.2
96591.688741837,562341.325190349,25.0,0.2
105705.20810009836,624987.8284939065,25.0,0.2
114879.08395619172,694613.3393865536,25.0,0.2
125718.03675980512,782255.4973361439,25.0,0.2
138537.15510922775,857997.9269537411,25.0,0.2
152663.4032825947,979096.9283149552,25.0,0.2
167067.34319954296,1102633.5245385752,25.0,0.2
184102.73525621596,1241757.2298268569,25.0,0.2
204287.10964342847,1417020.5442721448,25.0,0.2
223561.79624047785,1595811.72393563,25.0,0.2
244655.0681807872,1821046.7741125517,25.0,0.2
264050.349698218,2023916.8240982224,25.0,0.2
281057.5011784845,2219883.9705397123,25.0,0.2
301242.097353322,2467185.6755084046,25.0,0.2
24979.880787725564,19659.74958149483,25.0,0.1
26405.0349698218,21001.373871858257,25.0,0.1
28105.750117848456,22732.71860785375,25.0,0.1
30124.209735332195,24933.829811335792,25.0,0.1
32512.337366005904,26989.36461850908,25.0,0.1
35089.78626454006,29602.628516305198,25.0,0.1
37349.87533881421,32043.05719330775,25.0,0.1
40310.82502288921,35145.64837031016,25.0,0.1
43506.50703075626,38548.650084095716,25.0,0.1
47611.388094538685,42843.08484580119,25.0,0.1
52831.33271435984,48248.76912537391,25.0,0.1
57019.59081404031,52920.48956972889,25.0,0.1
62833.71981032223,58815.99017789361,25.0,0.1
66880.76080876868,63664.756530427934,25.0,0.1
71188.4666364269,68009.37869599674,25.0,0.1
76300.98078508723,74594.43383048884,25.0,0.1
82349.81931268027,80743.96867211373,25.0,0.1
88263.90394279196,87400.46866953411,25.0,0.1
95924.0950714878,95863.07950357793,25.0,0.1
102102.44559195808,103765.99285998644,25.0,0.1
110196.72171139164,112320.41918512424,25.0,0.1
119760.40417225476,123195.92146503032,25.0,0.1
130154.09337734545,135124.4517757996,25.0,0.1
139501.31878249618,146264.0567232549,25.0,0.1
153725.8800424686,162558.30952355085,25.0,0.1
167067.34319954296,178298.13028514571,25.0,0.1
181566.6767107984,195561.97007925416,25.0,0.1
197324.3690864757,214497.39310286706,25.0,0.1
212967.4608774601,235266.25155841955,25.0,0.1
231450.3443852167,261475.61470718152,25.0,0.1
251537.3085415084,286793.1719645214,25.0,0.1
273367.5672696353,318742.7879541187,25.0,0.1
297092.4165016535,349605.27887293586,25.0,0.1
322876.2827440064,388552.3511878523,25.0,0.1
348472.6312917256,431838.2436910489,25.0,0.1
378715.6506866572,479946.313911277,25.0,0.1
414447.839022593,540503.0701179518,25.0,0.1
450416.6724637901,608700.5157433862,25.0,0.1
489507.1459699259,676511.5713464704,25.0,0.1
524661.8884146955,751876.9810909976,25.0,0.1
570195.9081404031,857997.9269537411,25.0,0.1
619681.7051881608,966254.9752576372,25.0,0.1
682868.9241626053,1132137.2568320096,25.0,0.1
726851.6541520685,1274983.56665312,25.0,0.1
789933.1896869384,1474273.2368089147,25.0,0.1
846663.5113189043,1660288.2188928635,25.0,0.1
901196.0450052712,1869773.459200167,25.0,0.1
952611.154762678,2078071.807448071,25.0,0.1
1000000.0,2279282.547611539,25.0,0.1
101396.76431345238,2083.5663719356353,25.0,0.025
107927.60258826875,2255.3347377653513,25.0,0.025
114879.08395619172,2441.2636179406722,25.0,0.025
122278.30151068524,2607.8607841676812,25.0,0.025
130154.09337734545,2822.85176849219,25.0,0.025
139501.31878249618,3055.566522283775,25.0,0.025
149519.83020338052,3351.423864346679,25.0,0.025
160257.83712413843,3627.713887134263,25.0,0.025
171767.01127049714,3926.78114723404,25.0,0.025
184102.73525621596,4306.994447979022,25.0,0.025
195960.56127315684,4662.061321744957,25.0,0.025
208582.13497506487,5046.399764436429,25.0,0.025
222016.64839136123,5462.422912312177,25.0,0.025
237961.13083029285,5991.325789167983,25.0,0.025
256825.7435970688,6571.440052918758,25.0,0.025
