h,b,T,f
-40.12904126064405,0.0026321169569344,25,10000
-38.08577722109442,0.0239125073979088,25,10000
-43.39826372392349,0.0127909844150719,25,10000
-33.36356699635758,0.0416058394160583,25,10000
-21.642366617099924,0.0571326409830059,25,10000
-14.622295166932986,0.100594144555139,25,10000
-22.148317712607422,0.0715159959229302,25,10000
-19.314991577765227,0.0838676267508383,25,10000
-9.949274632037032,0.123332182547511,25,10000
-18.606660044054703,0.1128846912606036,25,10000
-7.391410760304666,0.1395089432498191,25,10000
-3.84975309175195,0.1550116722561977,25,10000
-0.898371701291353,0.1687956204379561,25,10000
2.643285967261249,0.1810292957190766,25,10000
17.99046919765624,0.2416809144911335,25,10000
11.851595905498243,0.2258187019135924,25,10000
9.01826977065616,0.2145960741763661,25,10000
7.955772470090324,0.1917463996843558,25,10000
36.03605827075785,0.2994831445105168,25,10000
27.43488964712992,0.262098457946998,25,10000
29.20571848140628,0.2741467745117379,25,10000
34.51820498423535,0.2840887420266981,25,10000
38.94527706992619,0.0068510800946931,25,10000
43.96262543370904,0.038319934898402,25,10000
41.60152032134067,0.026271618333662,25,10000
41.60152032134067,0.0170879364766225,25,10000
49.27511193653811,0.3163580094693233,25,10000
47.672933467430994,0.0557605050305779,25,10000
61.33361304613413,0.1003729779049121,25,10000
52.732444422506205,0.0739593608206746,25,10000
55.0598194618409,0.3282378181100808,25,10000
54.58759843936707,0.0855864075754586,25,10000
62.85146633265674,0.341583645689485,25,10000
62.26119005456462,0.1190352304859604,25,10000
65.68479246749882,0.1340155849279936,25,10000
69.93478166976206,0.3531095876898796,25,10000
69.22645013605154,0.1469569934898401,25,10000
74.06671561640678,0.1613307194055367,25,10000
77.01809700686738,0.174963010455711,25,10000
82.33058350969634,0.3649514820477411,25,10000
78.78892584114374,0.1856801144209903,25,10000
89.41389884680177,0.2176123660156507,25,10000
84.1014123439727,0.1978126849477214,25,10000
93.30972228220968,0.3762625764450581,25,10000
92.95555651535436,0.2326938252120733,25,10000
98.26804301818343,0.2488705859143815,25,10000
113.85133675981524,0.3001812487670151,25,10000
123.07692307692298,0.3977557621490102,25,10000
105.35135835528877,0.269470679621227,25,10000
108.89301602384148,0.3865752613927796,25,10000
110.66384485811771,0.2845100118366541,25,10000
123.64992297614424,0.3186328664430853,25,10000
128.37213320088108,0.3307654369698165,25,10000
137.22627737226276,0.343993309002433,25,10000
144.29231633049733,0.4094643000664899,25,10000
147.8512503779208,0.3574739429210232,25,10000
158.47622338357883,0.3697750213717366,25,10000
170.87202522351322,0.4207486683764055,25,10000
169.10119638923686,0.381570576050503,25,10000
180.2934105011592,0.392815581809651,25,10000
205.60751389585675,0.4330709288738486,25,10000
198.30226353787052,0.4044163618981137,25,10000
225.05938755236912,0.4394530479384493,25,10000
232.34508332767743,0.4209653214215257,25,10000
260.9629421673218,0.4451500542513317,25,10000
257.6426381030536,0.4299492010258433,25,10000
298.1946184079817,0.4522294302905618,25,10000
300.14253012568565,0.4412223811402643,25,10000
333.3455707683672,0.4478165624892357,25,10000
374.5173411652918,0.4615766562846855,25,10000
412.29502296318697,0.4610609012296967,25,10000
452.4338098734506,0.4656024139600782,25,10000
491.3920442275301,0.4681759895263545,25,10000
530.3502785816095,0.4703819114403055,25,10000
569.3085129356887,0.4723120931150127,25,10000
607.3813328726301,0.4734073946208982,25,10000
647.2249816438475,0.4757128893990207,25,10000
686.1832159979269,0.4770915905952402,25,10000
725.1414503520064,0.4783324216718376,25,10000
764.0996847060858,0.4794353826288132,25,10000
802.7627809211192,0.4804004734661669,25,10000
842.0161534142444,0.4815034344231423,25,10000
880.9743877683238,0.482468525260496,25,10000
919.9326221224032,0.4834336160978496,25,10000
958.8908564764828,0.4843527502286626,25,10000
997.849090830562,0.4849923143946866,25,10000
1036.8073251846415,0.485731451424882,25,10000
1075.7655595387207,0.4864667587295324,25,10000
1114.7237938928,0.4872020660341828,25,10000
1153.6820282468796,0.4876156763930486,25,10000
1183.431952662722,0.4867700729927007,25,10000
-30.41290150953398,0.0222861917406831,100,10000
-32.61882126717552,0.0117743338522113,100,10000
-23.787693357720343,0.0369947479953431,100,10000
-21.18733355442725,0.0467691668737818,100,10000
-16.775466653560102,0.0588137247046973,100,10000
-15.959797983839678,0.0704208471228433,100,10000
-7.823548600375943,0.0984725242651772,100,10000
-14.035703272701824,0.0818318778042304,100,10000
-4.572477741210946,0.1148280835088362,100,10000
-3.7631088512687834,0.1254713396209138,100,10000
-0.738189241450641,0.1355233037267649,100,10000
-6.95752112767093,0.0894869975276989,100,10000
14.108103555579248,0.1843624876176841,100,10000
8.871456054264911,0.1720567026829045,100,10000
6.3465490124261805,0.1630465387785002,100,10000
3.822562126214791,0.1541771586851021,100,10000
2.28452199486145,0.1452373866862009,100,10000
28.71636943395612,0.0010891859719804,100,10000
35.45636240486493,0.2401608712572109,100,10000
32.41961879523353,0.2282998351799285,100,10000
30.88433913076267,0.2197824146140463,100,10000
29.34813931066429,0.2111242102371578,100,10000
34.692403195139434,0.0226616152366999,100,10000
32.47022735474559,0.0096625766871165,100,10000
37.9359517820497,0.0374170994283622,100,10000
65.373585268738,0.300931552251887,100,10000
42.125420354022026,0.2543917681530995,100,10000
40.98232416306877,0.0507513375279605,100,10000
44.02672478202891,0.0637838960325454,100,10000
47.48204061406637,0.2690466924797572,100,10000
47.073885867871525,0.0772388059701493,100,10000
54.967342330211125,0.2823960145591063,100,10000
78.36923873815817,0.1996015967824868,100,10000
56.009035180167984,0.1147811555718341,100,10000
52.3262656404014,0.1046916491163812,100,10000
59.25030528647676,0.1291880322314806,100,10000
62.56897800783168,0.1437591566706346,100,10000
63.91332537959784,0.2928492125263254,100,10000
65.49139228074716,0.1569928349052284,100,10000
68.52284499552047,0.1680443640692244,100,10000
71.55199732122503,0.1787439337057046,100,10000
73.97700175207888,0.3126092259997122,100,10000
73.58958994274383,0.1886551140005494,100,10000
85.9892391165788,0.3250652412782713,100,10000
83.64928335586603,0.2185857522204926,100,10000
79.64384590939198,0.209434804505082,100,10000
86.13449225491854,0.2323021178071082,100,10000
91.72537427891211,0.2468657002563868,100,10000
96.5244952481496,0.334330156840687,100,10000
98.39876462748214,0.2617594542624302,100,10000
104.49218855200718,0.2759551552055673,100,10000
116.14042841648052,0.2999149955742759,100,10000
111.5999306965714,0.3447280468821537,100,10000
109.74839354293124,0.2878232304733999,100,10000
125.98932439929548,0.3148416550028124,100,10000
132.37911511550874,0.3546181096053475,100,10000
135.35834899842175,0.3253401049092836,100,10000
148.52853649471876,0.3352955315447303,100,10000
162.60991975414277,0.3652544850077128,100,10000
161.9168008747314,0.3462766688032231,100,10000
195.77198390411505,0.372637175005521,100,10000
186.6427628188901,0.3563427112901749,100,10000
217.227836260294,0.3761963711378472,100,10000
225.69036155138485,0.3692756241103462,100,10000
247.55037473337927,0.3747472115076458,100,10000
279.0419049890145,0.3823685185339338,100,10000
311.61516325070625,0.3857089344132656,100,10000
344.1811439178897,0.38793587833282,100,10000
376.7421055543776,0.3893949105559764,100,10000
410.63715817340585,0.3912275318194305,100,10000
441.8607664574016,0.3918138323996304,100,10000
472.1151674763039,0.3925163293959649,100,10000
506.9806343178072,0.3944174187226563,100,10000
539.5364813230152,0.3950939123599595,100,10000
572.0921371270538,0.3957411522183521,100,10000
604.1557546468821,0.3965666572919801,100,10000
637.2011065208064,0.396677273143485,100,10000
669.7551251648324,0.3970740275199574,100,10000
702.3085582552774,0.3973811921985166,100,10000
734.8627442003265,0.3978035436315356,100,10000
767.4141696784932,0.3978035436315356,100,10000
799.9651350788461,0.3977331517260324,100,10000
832.522039665522,0.3985714553279337,100,10000
865.0739670467583,0.3986482464975735,100,10000
897.6279020402728,0.3990322023457725,100,10000
930.182087985322,0.3994545537787914,100,10000
962.7337644150234,0.3994929493636114,100,10000
995.5294912122891,0.3991409898360956,100,10000
1027.8393758382394,0.3999153007966304,100,10000
1060.3928089286844,0.4002224654751896,100,10000
1092.9449872614557,0.4003376522296493,100,10000
1125.4964127396222,0.4003376522296493,100,10000
1158.047838217789,0.4003376522296493,100,10000
1178.762381703895,0.4003376522296493,100,10000
