b,mu,T
0.35817228999999995,2482.13861,100
0.35928708,2474.84935,100
0.36056137,2467.55974,100
0.36231382,2458.81175,100
0.36457826,2441.83208,100
0.3667475,2423.16257,100
0.36867421,2403.61025,100
0.37056606,2387.38006,100
0.37171825999999997,2374.3361,100
0.37313793,2364.78763,100
0.37393374,2357.49903,100
0.37472870999999996,2346.56697,100
0.37568334,2336.36326,100
0.37672838000000003,2321.29087,100
0.37806452,2306.95523,100
0.37952848,2291.92802,100
0.38081015,2273.8134,100
0.38235998,2256.05479,100
0.38411452,2240.15809,100
0.38475032,2230.68375,100
0.38554595999999997,2222.66645,100
0.38602177,2211.00637,100
0.38674049000000005,2195.51183,100
0.38765616,2182.54813,100
0.38859056,2167.5352,100
0.3895747,2152.42341,100
0.39049245000000005,2137.01549,100
0.39118918,2123.23751,100
0.39190084999999997,2114.07786,100
0.39221783,2105.33288,100
0.39253465,2095.8592,100
0.39285146,2086.38553,100
0.39300912,2078.36957,100
0.39387295,2064.95486,100
