f,T,b,mu_real,mu_imag,h_offset
25000,25,0.05,4262.34183214277,131.51286070411638,0
25000,25,0.1,4767.223904223374,290.1509762706157,0
25000,25,0.2,5353.107005579421,622.33458134697,0
25000,25,0.3,5398.468313520607,795.6276383446921,0
25000,30,0.05,4280.503774292428,124.40627745675847,0
25000,30,0.1,4776.67509073148,265.4904773453173,0
25000,30,0.2,5354.427268103692,575.3788924269751,0
25000,30,0.3,5400.202324090796,746.5545649523176,0
25000,40,0.05,4316.576673399535,118.14607837722356,0
25000,40,0.1,4793.711270490301,246.62542470821896,0
25000,40,0.2,5351.165262894885,530.9131539015825,0
25000,40,0.3,5396.045977235334,698.907013582801,0
25000,50,0.05,4352.350374846089,122.54432387650952,0
25000,50,0.1,4809.93550758032,242.70605317159297,0
25000,50,0.2,5345.194289058218,511.6100338772777,0
25000,50,0.3,5388.302616823022,677.0897586271442,0
25000,60,0.05,4387.93576456381,133.20615735448936,0
25000,60,0.1,4825.435366623254,252.9141152380361,0
25000,60,0.2,5338.227225176227,502.3021320757532,0
25000,60,0.3,5380.20008650267,657.5661013492401,0
25000,70,0.05,4423.281743536606,150.43624278410678,0
25000,70,0.1,4840.262472375891,274.89939777863486,0
25000,70,0.2,5328.85989723283,518.1526978897231,0
25000,70,0.3,5368.114230666689,670.2270949676843,0
25000,80,0.05,4458.255681340688,175.81823337294216,0
25000,80,0.1,4854.558868286163,303.97264581718275,0
25000,80,0.2,5318.605980567671,542.2502074806232,0
25000,80,0.3,5354.210149737665,696.7173858530346,0
25000,90,0.05,4492.949305159539,204.54992593198813,0
25000,90,0.1,4868.404842421553,337.2215910140208,0
25000,90,0.2,5307.982002322185,568.7081207905882,0
25000,90,0.3,5340.244533000657,722.5749436353728,0
25000,100,0.05,4527.229332681637,238.0800154834096,0
25000,100,0.1,4881.148154348172,382.0104501044938,0
25000,100,0.2,5296.010303740458,605.8018521768009,0
25000,100,0.3,5327.066671953522,741.7882172190924,0
25000,110,0.05,4560.410356272049,285.96037207849093,0
25000,110,0.1,4893.21463969823,430.06650355695353,0
25000,110,0.2,5284.270897276333,638.7044869350808,0
25000,110,0.3,5313.779503062819,761.1947397500576,0
25000,120,0.05,4595.021161592444,306.7571319970582,0
25000,120,0.1,4907.137723093146,453.85651324554254,0
25000,120,0.2,5274.635960238174,653.1012927653351,0
25000,120,0.3,5302.509956473242,766.196606601159,0
50000,25,0.05,4261.09860111352,167.0096947879708,0
50000,25,0.1,4761.9681483461545,366.4296605983624,0
50000,25,0.2,5321.478025173989,851.426198747796,0
50000,25,0.3,5343.947118467509,1103.953199192241,0
50000,30,0.05,4279.550353314192,153.74738063052226,0
50000,30,0.1,4772.529492392193,331.7715482411828,0
50000,30,0.2,5328.447828750437,780.1256152361709,0
50000,30,0.3,5351.657535906926,1038.8890594945096,0
50000,40,0.05,4315.738061393952,145.59415719213408,0
50000,40,0.1,4790.135421499872,308.37394285265344,0
50000,40,0.2,5328.630907341341,722.8631275180696,0
50000,40,0.3,5352.472019620072,978.1750769964876,0
50000,50,0.05,4351.454084052786,151.05711210520232,0
50000,50,0.1,4806.454697461224,303.9392317240591,0
50000,50,0.2,5326.244957102388,681.1471731467993,0
50000,50,0.3,5349.206779120313,937.1459149528864,0
50000,60,0.05,4386.868134031124,164.65761117429938,0
50000,60,0.1,4821.84606208678,313.99455518104776,0
50000,60,0.2,5319.299383089742,673.8185308832133,0
50000,60,0.3,5342.681420046693,913.6199386697044,0
50000,70,0.05,4421.815834761193,188.6721211584006,0
50000,70,0.1,4836.299749242864,337.51328249839224,0
