T,p_v,f,b
25.2682926829268,3483.25069811416,100000,0.025
31.9024390243902,3162.27766016838,100000,0.025
39.9024390243903,2870.88150313557,100000,0.025
48.8780487804878,2606.33678973246,100000,0.025
56.0975609756098,2387.05593297558,100000,0.025
63.5121951219512,2167.09456327902,100000,0.025
70.7317073170732,1967.40209616259,100000,0.025
77.9512195121951,1786.11080179549,100000,0.025
84.390243902439,1635.83862345562,100000,0.025
91.8048780487805,1538.2357508067,100000,0.025
98.6341463414634,1498.20940520552,100000,0.025
103.512195121951,1498.20940520552,100000,0.025
109.365853658537,1511.43443658186,100000,0.025
115.219512195122,1524.77620828454,100000,0.025
121.073170731707,1565.51231584414,100000,0.025
127.317073170732,1650.27853889512,100000,0.025
132.585365853659,1770.48235584796,100000,0.025
135.90243902439,1850.01637517054,100000,0.025
139.804878048781,1950.18735378153,100000,0.025
25.2682926829268,18018.7720355034,100000,0.05
29.7560975609756,16795.418880745,100000,0.05
35.0243902439024,15793.3144514952,100000,0.05
40.6829268292683,14851.0009267922,100000,0.05
46.9268292682927,13964.9108618048,100000,0.05
53.3658536585366,13131.6896645213,100000,0.05
60.1951219512195,12026.8715260345,100000,0.05
65.4634146341464,11309.2841105712,100000,0.05
71.7073170731707,10541.4599565464,100000,0.05
78.7317073170732,9825.76588659584,100000,0.05
84,9403.34656946328,100000,0.05
91.0243902439025,8764.9227263527,100000,0.05
96.8780487804878,8388.11009764592,100000,0.05
101.951219512195,8241.96060504594,100000,0.05
107.219512195122,8169.84355850652,100000,0.05
112.878048780488,8388.11009764592,100000,0.05
120.487804878049,8536.8511670819,100000,0.05
126.536585365854,8764.9227263527,100000,0.05
132.19512195122,9239.50819420704,100000,0.05
136.878048780488,9739.79056474157,100000,0.05
139.804878048781,10177.3236971195,100000,0.05
25.2682926829268,89203.4557663303,100000,0.1
31.9024390243902,83881.1009764592,100000,0.1
38.9268292682927,78876.3063109791,100000,0.1
46.9268292682927,73521.1368260053,100000,0.1
54.7317073170732,68529.547249296,100000,0.1
61.3658536585366,65009.5409286626,100000,0.1
68.5853658536585,61130.7243673922,100000,0.1
75.219512195122,57990.7570861939,100000,0.1
81.8536585365854,55012.0735887071,100000,0.1
87.9024390243903,53111.77791975,100000,0.1
92.9756097560976,51277.1246342532,100000,0.1
98.2439024390244,50383.7021993968,100000,0.1
104.292682926829,50383.7021993968,100000,0.1
109.951219512195,50828.450470318,100000,0.1
114.634146341463,52186.3895660334,100000,0.1
119.512195121951,54053.5756018819,100000,0.1
125.951219512195,56980.3602715391,100000,0.1
130.829268292683,59540.0452409344,100000,0.1
135.121951219512,62763.9002718271,100000,0.1
139.804878048781,66746.3437704705,100000,0.1
25.2682926829268,433914.916718499,100000,0.2
31.3170731707317,418926.08639189,100000,0.2
36.7804878048781,408025.234356384,100000,0.2
42.4390243902439,390483.829151034,100000,0.2
48.2926829268293,380323.071484941,100000,0.2
52.390243902439,373696.546168208,100000,0.2
58.6341463414634,363972.609444563,100000,0.2
64.6829268292683,354501.698729252,100000,0.2
71.9024390243903,345277.230046803,100000,0.2
78.3414634146342,339261.322841218,100000,0.2
83.219512195122,336292.790742995,100000,0.2
89.0731707317073,336292.790742995,100000,0.2
94.7317073170732,333350.233261462,100000,0.2
100.19512195122,339261.322841218,100000,0.2
106.439024390244,345277.230046803,100000,0.2
112.682926829268,357630.964953565,100000,0.2
119.317073170732,376995.249627906,100000,0.2
125.560975609756,397408.032776078,100000,0.2
132,418926.08639189,100000,0.2
136.682926829268,437745.181278528,100000,0.2
140,449440.035048786,100000,0.2
