b,p_v,f,T
0.0240757013467624,3435.49813585793,100000,25
0.0269724907375767,4366.19198188538,100000,25
0.0293160371356816,5355.39826776767,100000,25
0.0323495632052046,6627.30199217227,100000,25
0.0356969884682606,8348.2189400888,100000,25
0.0387985762883072,10239.594923032,100000,25
0.0431388358552624,12898.5189412312,100000,25
0.0486967525165863,17289.7694842874,100000,25
0.0549707394427144,22971.1384452464,100000,25
0.0620530536168621,30519.3890497047,100000,25
0.0684740973264549,38104.5523347459,100000,25
0.076712903574462,48427.2685642871,100000,25
0.0846508998249406,61002.4171408906,100000,25
0.0920059236271995,72856.4265667421,100000,25
0.102298301040024,92593.6015462548,100000,25
0.112032004173385,113571.646731177,100000,25
0.125511699591055,145626.051608725,100000,25
0.133352143216332,169352.563034661,100000,25
0.146040625440075,209573.690370358,100000,25
0.157531867342352,252530.375598894,100000,25
0.17121926625144,307005.764125367,100000,25
0.186095915894727,379919.440248189,100000,25
0.200738918005463,445759.140211485,100000,25
0.0248162892283683,1629.60467618396,100000,120
0.0271775639491095,1946.26998384351,100000,120
0.0284411641182212,2184.39724204863,100000,120
0.0306790639894386,2585.80875189381,100000,120
0.031863206171885,2851.10264808629,100000,120
0.0346316899126975,3435.49813585793,100000,120
0.0356969884682606,3754.48288171173,100000,120
0.0387985762883072,4564.39302900466,100000,120
0.0406024865891348,5077.56541268042,100000,120
0.0437973030576603,6118.32286069007,100000,120
0.0454877794700378,6746.03893160489,100000,120
0.0486967525165863,8128.78630992463,100000,120
0.0509608709942531,9204.71365465805,100000,120
0.0541442860657352,10799.8823169272,100000,120
0.0558098077276358,12014.1075856052,100000,120
0.0602012159346693,14476.6601939245,100000,120
0.0625248461225834,16104.2637267868,100000,120
0.0669357131353187,19405.1827807311,100000,120
0.0689947093523211,21396.0788756015,100000,120
0.0738619982207936,25553.7718417977,100000,120
0.076712903574462,29454.5010926599,100000,120
0.0815049922623424,34253.4539517126,100000,120
0.0852945048985372,39133.1661795745,100000,120
0.0906226676067301,46737.5356865189,100000,120
0.0941204967268067,52455.9002097779,100000,120
0.100760305058691,62095.3566685984,100000,120
0.104649423956753,70314.3071580644,100000,120
0.110347667576907,83235.4790295166,100000,120
0.116356185053591,95941.1989431967,100000,120
0.121766077396636,109608.884610716,100000,120
0.128396336288107,125223.654883845,100000,120
0.135387618002254,148235.136224169,100000,120
0.141682362348128,169352.563034661,100000,120
0.150532952199959,198701.211082083,100000,120
0.157531867342352,223012.419182601,100000,120
0.167372541391916,266348.264596184,100000,120
0.173832741302632,296293.664337655,100000,120
0.186095915894727,357025.494042375,100000,120
