f,mu_imag
10186.06258,9.99955
17383.42772,10.80063
25623.52425,11.69837
34509.20369,12.61217
43608.08794,13.66769
55982.93910,15.34409
76086.87683,18.59116
97330.18769,22.92617
128165.91310,29.72164
166479.72957,39.37599
211074.75870,52.85869
257250.08422,70.20924
307955.02838,94.36567
358267.96649,125.53853
412687.49317,173.23086
460520.43914,232.37500
504515.57526,318.12000
553243.34126,441.80490
599308.28997,605.91038
646529.59739,836.10819
696069.75674,1131.24692
745754.78164,1532.17654
806054.37988,2077.08182
888156.94725,2997.51593
936150.16050,3740.48608
999377.63145,4072.38040
1175940.49683,3681.75939
1389050.94409,3175.96434
1657866.16060,2650.72168
2085585.97665,2058.54870
2584389.75156,1594.97227
3146601.88784,1255.95541
3759114.81073,971.36611
4295649.97919,719.76024
4639324.40569,534.44147
4843362.81687,412.51561
5092397.78577,313.30785
5282547.39034,234.07578
5426142.38306,183.12813
5615860.77210,132.20583
5747132.57607,94.56809
5883643.15871,67.43114
